Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.8992329008032671079599350020,0.899232900803267,0.899232900803267,0.899232900803267,0.899232900803267,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,514802.1
0.02,0,0.9470541992523189699479406554,0.947054199252319,0.947054199252319,0.947054199252319,0.947054199252319,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,1029604
0.03,0,0.9591763267828023012704798036,0.959176326782802,0.959176326782802,0.959176326782802,0.959176326782802,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,1544406
0.04,0,0.9627849138841234768091121273,0.962784913884124,0.962784913884124,0.962784913884124,0.962784913884124,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,2059208
0.05,0,0.9635360767310300741519555672,0.96353607673103,0.96353607673103,0.96353607673103,0.96353607673103,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,2574010
0.06,0,0.9631390416999313119199885870,0.963139041699931,0.963139041699931,0.963139041699931,0.963139041699931,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,3088812
0.07,0,0.9622420147638025692904928080,0.962242014763802,0.962242014763802,0.962242014763802,0.962242014763802,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,3603614
0.08,0,0.9611268954629428588933279770,0.961126895462943,0.961126895462943,0.961126895462943,0.961126895462943,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,4118416
0.09,0,0.9599273067729089577652705562,0.959927306772909,0.959927306772909,0.959927306772909,0.959927306772909,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,4633219
0.10,0,0.9587099735844755044154966311,0.958709973584476,0.958709973584476,0.958709973584476,0.958709973584476,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,5148021
0.11,0,0.9575090022898328054818254484,0.957509002289833,0.957509002289833,0.957509002289833,0.957509002289833,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,5662823
0.12,0,0.9563416990694421230413682167,0.956341699069442,0.956341699069442,0.956341699069442,0.956341699069442,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,6177625
0.13,0,0.9552163692267588065215031363,0.955216369226759,0.955216369226759,0.955216369226759,0.955216369226759,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,6692427
0.14,0,0.9541363755243263230220794484,0.954136375524326,0.954136375524326,0.954136375524326,0.954136375524326,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,7207229
0.15,0,0.9531023354255946662754485367,0.953102335425595,0.953102335425595,0.953102335425595,0.953102335425595,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,7722032
