Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.4402793008032671079599350020,0.440279300803267,0.440279300803267,0.440279300803267,0.440279300803267,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,514802.1
0.02,0,0.4881005992523189699479406554,0.488100599252319,0.488100599252319,0.488100599252319,0.488100599252319,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,1029604
0.03,0,0.5002227267828023012704798036,0.500222726782802,0.500222726782802,0.500222726782802,0.500222726782802,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,1544406
0.04,0,0.5038313138841234768091121273,0.503831313884124,0.503831313884124,0.503831313884124,0.503831313884124,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,2059208
0.05,0,0.5045824767310300741519555672,0.50458247673103,0.50458247673103,0.50458247673103,0.50458247673103,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,2574010
0.06,0,0.5041854416999313119199885870,0.504185441699931,0.504185441699931,0.504185441699931,0.504185441699931,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,3088812
0.07,0,0.5032884147638025692904928080,0.503288414763803,0.503288414763803,0.503288414763803,0.503288414763803,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,3603614
0.08,0,0.5021732954629428588933279770,0.502173295462943,0.502173295462943,0.502173295462943,0.502173295462943,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,4118416
0.09,0,0.5009737067729089577652705562,0.500973706772909,0.500973706772909,0.500973706772909,0.500973706772909,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,4633219
0.10,0,0.4997563735844755044154966311,0.499756373584476,0.499756373584476,0.499756373584476,0.499756373584476,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,5148021
0.11,0,0.4985554022898328054818254484,0.498555402289833,0.498555402289833,0.498555402289833,0.498555402289833,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,5662823
0.12,0,0.4973880990694421230413682167,0.497388099069442,0.497388099069442,0.497388099069442,0.497388099069442,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,6177625
0.13,0,0.4962627692267588065215031363,0.496262769226759,0.496262769226759,0.496262769226759,0.496262769226759,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,6692427
0.14,0,0.4951827755243263230220794484,0.495182775524326,0.495182775524326,0.495182775524326,0.495182775524326,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,7207229
0.15,0,0.4941487354255946662754485367,0.494148735425595,0.494148735425595,0.494148735425595,0.494148735425595,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,7722032
0.16,0,0.4931597605376659571978907548,0.493159760537666,0.493159760537666,0.493159760537666,0.493159760537666,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,8236833
0.17,0,0.4922141386107892004892325049,0.492214138610789,0.492214138610789,0.492214138610789,0.492214138610789,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,8751636
0.18,0,0.4913097689231756527007323128,0.491309768923176,0.491309768923176,0.491309768923176,0.491309768923176,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,9266438
0.19,0,0.4904443818299632249486873274,0.490444381829963,0.490444381829963,0.490444381829963,0.490444381829963,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,9781239
0.20,0,0.4896156821020366481490618449,0.489615682102037,0.489615682102037,0.489615682102037,0.489615682102037,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,10296040
0.21,0,0.4888214332942581327910672955,0.488821433294258,0.488821433294258,0.488821433294258,0.488821433294258,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,10810840
0.22,0,0.4880594804277222751038195233,0.488059480427722,0.488059480427722,0.488059480427722,0.488059480427722,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,11325650
0.23,0,0.4873278352414746616706674760,0.487327835241475,0.487327835241475,0.487327835241475,0.487327835241475,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,11840450
0.24,0,0.4866245945544256725226221016,0.486624594554426,0.486624594554426,0.486624594554426,0.486624594554426,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,12355250
0.25,0,0.4859480009406844984958283832,0.485948000940684,0.485948000940684,0.485948000940684,0.485948000940684,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,12870050
0.26,0,0.4857135704947407010413902585,0.485713570494741,0.485713570494741,0.485713570494741,0.485713570494741,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,13384850
0.27,0,0.4855024574059408195202865862,0.485502457405941,0.485502457405941,0.485502457405941,0.485502457405941,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,13899660
0.28,0,0.4853136445115521918659713672,0.485313644511552,0.485313644511552,0.485313644511552,0.485313644511552,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,14414460
0.29,0,0.4851454729868664670301146408,0.485145472986866,0.485145472986866,0.485145472986866,0.485145472986866,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,14929260
0.30,0,0.4849971036001382051008308419,0.484997103600138,0.484997103600138,0.484997103600138,0.484997103600138,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,15444060
0.31,0,0.4848672539381776018092543807,0.484867253938178,0.484867253938178,0.484867253938178,0.484867253938178,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,15958860
0.32,0,0.4847547134393033863342096011,0.484754713439303,0.484754713439303,0.484754713439303,0.484754713439303,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,16473670
0.33,0,0.4846589098403382408369478966,0.484658909840338,0.484658909840338,0.484658909840338,0.484658909840338,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,16988470
0.34,0,0.4845785985676966801165258005,0.484578598567697,0.484578598567697,0.484578598567697,0.484578598567697,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,17503270
0.35,0,0.4845133184324949537453131332,0.484513318432495,0.484513318432495,0.484513318432495,0.484513318432495,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,18018070
0.36,0,0.4844619468045714813025114409,0.484461946804572,0.484461946804572,0.484461946804572,0.484461946804572,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,18532880
