749814,67.45,35.31,0.6162757589,9,0.1570796327,-10.5,-0.1832595715,-0.02,-0.11,2.04,3.23,-5.25,29.9,28.31,-166.7,93.61,0
749836,70.49,24.38,0.4255112716,10.44,0.1822123739,-8.06,-0.1406735377,-0.15,0.22,2.33,3.19,-4.71,29.89,-30.24,-204.28,140.71,0
749869,76.67,24.38,0.4255112716,10.44,0.1822123739,-8.06,-0.1406735377,-0.15,0.22,2.33,3.64,-3.06,29.88,-30.24,-204.28,140.71,0
749892,79.81,24.38,0.4255112716,10.44,0.1822123739,-8.06,-0.1406735377,-0.15,0.22,2.33,4.11,-2.01,29.87,-30.24,-204.28,140.71,0
749918,83.08,24.38,0.4255112716,10.44,0.1822123739,-8.06,-0.1406735377,-0.15,0.22,2.33,4.76,-1.13,29.86,-30.24,-204.28,140.71,0
749950,89.79,9,0.1570796327,9.88,0.1724385301,-4.94,-0.08621926505,0.04,0.43,2.61,6.58,0.61,29.83,29.96,-56.46,104.95,0
749973,93.24,9,0.1570796327,9.88,0.1724385301,-4.94,-0.08621926505,0.04,0.43,2.61,7.64,1.27,29.81,29.96,-56.46,104.95,0
749995,96.86,9,0.1570796327,9.88,0.1724385301,-4.94,-0.08621926505,0.04,0.43,2.61,8.77,1.69,29.8,29.96,-56.46,104.95,0
750017,100.49,9,0.1570796327,9.88,0.1724385301,-4.94,-0.08621926505,0.04,0.43,2.61,9.9,1.88,29.79,29.96,-56.46,104.95,0
750050,108.13,354.75,6.191555521,9.19,0.1603957583,-3.75,-0.06544984695,0.35,0.22,2.98,11.32,1.21,29.77,153.96,-15.93,116.38,0
750072,112.17,354.75,6.191555521,9.19,0.1603957583,-3.75,-0.06544984695,0.35,0.22,2.98,11.62,0.47,29.77,153.96,-15.93,116.38,0
750094,116.21,354.75,6.191555521,9.19,0.1603957583,-3.75,-0.06544984695,0.35,0.22,2.98,11.5,-0.11,29.77,153.96,-15.93,116.38,0
750116,120.47,354.75,6.191555521,9.19,0.1603957583,-3.75,-0.06544984695,0.35,0.22,2.98,11.2,-0.91,29.77,153.96,-15.93,116.38,0
