#time,alt,vx,vy,vz,wx,wy,wz,thetax,thetay,thetaz,windx,windy,u
1.95,2180.25,573.097,38.046,-2.42906,0,0.00618401,0.10331,-3.58253e-05,-0.00406372,0.053668,1.13133,33.1626,0
2,2208.69,570.545,35.1382,-2.22216,0,0.00784667,0.106328,-5.62466e-05,-0.00371277,0.0589118,-3.51265,26.0324,0
2.05,2237,567.996,32.1962,-1.96921,0,0.00954435,0.107157,-7.49559e-05,-0.00327816,0.0642538,-1.75878,31.8131,0
2.1,2265.17,565.445,29.2508,-1.68147,0,0.010491,0.108067,-9.12892e-05,-0.00277869,0.0696409,0.531324,29.3929,0
2.15,2293.2,562.891,26.2969,-1.36857,0,0.0114299,0.109483,-0.000104938,-0.00223078,0.0750829,-0.766505,24.3198,0
2.2,2321.1,560.335,23.363,-1.05346,0,0.0108427,0.108272,-0.000115563,-0.00167462,0.0805294,2.37509,27.467,0
2.25,2348.87,557.773,20.488,-0.737606,0,0.011534,0.106891,-0.000123083,-0.00111311,0.0859107,-1.03992,25.9797,0
2.3,2376.5,555.206,17.6654,-0.424822,0,0.0109225,0.106068,-0.000127509,-0.000552731,0.0912383,1.69463,20.8474,0
2.35,2404,552.638,14.9149,-0.125621,0,0.0106436,0.103352,-0.00012899,-1.27257e-05,0.0964754,1.52629,28.5708,0
2.4,2431.36,550.068,12.2989,0.170525,0,0.0108583,0.0978755,-0.000127716,0.000525728,0.101507,-1.14308,42.5782,0
2.45,2458.6,547.493,9.83751,0.457024,0,0.0101133,0.0936063,-0.000123936,0.00105075,0.106296,3.5811,33.5289,0
2.5,2485.7,544.916,7.51604,0.723252,0,0.00953098,0.089084,-0.000118011,0.00154255,0.110864,2.54504,33.1519,0
2.55,2512.67,542.339,5.33167,0.975087,0,0.00920195,0.0849143,-0.000110281,0.00201152,0.115215,0.95075,29.3018,0
2.6,2539.51,539.763,3.2777,1.21564,0,0.00884093,0.0807782,-0.000101012,0.00246317,0.119359,0.921316,27.4814,0
2.65,2566.22,537.189,1.35251,1.44771,0,0.00870915,0.0766234,-9.04581e-05,0.00290245,0.123295,-0.572472,26.0897,0
2.7,2592.81,534.621,-0.42842,1.67616,0,0.00870638,0.0712179,-7.89322e-05,0.00333832,0.126992,-1.53026,32.3498,0
2.75,2619.26,532.057,-2.05806,1.89567,0,0.00817845,0.0664224,-6.67163e-05,0.0037608,0.130433,1.35913,27.4195,0
2.8,2645.59,529.5,-3.54227,2.10184,0,0.00783086,0.0613228,-5.40673e-05,0.00416135,0.133628,0.115858,28.2272,0
2.85,2671.79,526.948,-4.89493,2.29608,0,0.00740017,0.0574604,-4.11423e-05,0.00454236,0.136598,0.449523,19.5998,0
2.9,2697.86,524.407,-6.11862,2.47828,0,0.00703351,0.0524293,-2.81684e-05,0.0049034,0.139346,-0.086647,26.0622,0
2.95,2723.8,521.875,-7.19382,2.64937,0,0.00666408,0.0469595,-1.55611e-05,0.00524598,0.141831,-0.211527,28.1442,0
3,2749.63,519.354,-8.11014,2.80254,0,0.00576763,0.0409924,-3.68239e-06,0.00555685,0.14403,3.02215,30.763,0
3.05,2775.32,516.842,-8.88152,2.93607,0,0.00524149,0.0364615,7.34455e-06,0.00583213,0.145966,0.578625,21.2688,0
3.1,2800.89,514.343,-9.51535,3.05234,0,0.00451644,0.0309198,1.73747e-05,0.00607609,0.147651,1.7885,27.4711,0
3.15,2826.34,511.856,-10.0009,3.14402,0,0.00340258,0.0254261,2.60755e-05,0.00627403,0.14906,4.32616,27.0373,0
3.2,2851.66,509.381,-10.3354,3.21836,0,0.00321296,0.0195152,3.32138e-05,0.00643943,0.150183,-1.8815,29.8285,0
3.25,2876.86,506.922,-10.5004,3.28805,0,0.0030882,0.0124292,3.84138e-05,0.00659696,0.150982,-2.37814,37.692,0
3.3,2901.93,504.473,-10.5045,3.34496,0,0.00225694,0.00702612,4.16519e-05,0.00673056,0.151468,2.44091,27.0589,0
3.35,2926.89,502.037,-10.3664,3.38431,0,0.00173106,0.00127439,4.30545e-05,0.00683025,0.151675,0.319398,29.8795,0
3.4,2951.72,499.614,-10.085,3.41295,0,0.00143036,-0.00436953,4.25179e-05,0.00690929,0.151597,-1.25339,29.8242,0
3.45,2976.43,497.202,-9.66609,3.42909,0,0.000755976,-0.00980157,4.00546e-05,0.00696394,0.151242,1.41473,29.1727,0
3.5,3001.02,494.802,-9.11907,3.42915,0,0.000148113,-0.0148253,3.57539e-05,0.00698653,0.150626,1.00518,27.3368,0
3.55,3025.49,492.412,-8.45034,3.42452,0,0.000376825,-0.0198772,2.96828e-05,0.00699969,0.149758,-5.07373,28.5499,0
3.6,3049.83,490.033,-7.65658,3.41898,0,8.14902e-05,-0.0253033,2.17632e-05,0.00701116,0.148628,-1.21704,32.2102,0
3.65,3074.06,487.663,-6.74539,3.40715,0,-0.000134774,-0.0298618,1.2088e-05,0.00700983,0.147248,-1.75065,27.5512,0
3.7,3098.17,485.3,-5.73461,3.38662,0,-0.000632691,-0.0339501,9.1162e-07,0.00699061,0.145651,0.476552,25.624,0
3.75,3122.16,482.947,-4.62522,3.3544,0,-0.00110961,-0.0385456,-1.17277e-05,0.006947,0.143838,0.332434,30.5217,0
3.8,3146.04,480.598,-3.42961,3.3088,0,-0.00175624,-0.0417048,-2.5604e-05,0.00687523,0.141831,1.97325,22.005,0
3.85,3169.79,478.256,-2.1597,3.25118,0,-0.00214064,-0.0454175,-4.0481e-05,0.00677768,0.139652,-0.149671,27.4481,0
3.9,3193.43,475.92,-0.81203,3.18572,0,-0.00244698,-0.0489515,-5.63437e-05,0.00666282,0.137292,-0.674651,27.8124,0
3.95,3216.95,473.59,0.615755,3.11232,0,-0.00284793,-0.0529623,-7.31596e-05,0.00653021,0.134743,0.144395,32.8349,0
4,3240.35,471.264,2.13183,3.02747,0,-0.00346028,-0.0572876,-9.09519e-05,0.00637219,0.131985,1.93408,36.8004,0
4.05,3263.64,468.939,3.72144,2.93703,0,-0.0033833,-0.0601409,-0.000109411,0.00620078,0.129049,-3.63296,28.2345,0
