# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Total velocity (ft/s),Total acceleration (ft/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Lateral acceleration (ft/s²),Latitude (°),Longitude (°),Gravitational acceleration (ft/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (lb),Motor mass (lb),Longitudinal moment of inertia (lb·ft²),Rotational moment of inertia (lb·ft²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (ft/s²),,Reference area (in²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (ft/s),Air temperature (°F),Air pressure (mbar),Speed of sound (ft/s),Simulation time step (s),Computation time (s)
6.109,3197.519,486.364,-51.069,490.171,51.127,344.916,0.105,344.916,0.017,60.975,2.443,42,-87.999,32.152,0.003,0,0.001,1.36E-04,34.953,4.48,200.756,1.563,84.652,67.752,3.282,0.445,2.49E+07,0,92.109,0.563,0.563,0.33,0.078,0.146,6.02E-04,0.002,-1.94E-04,0,0,0,0,1.57E-05,0.053,5.15,20.831,82.857,0.031,0,45.101,878.752,1101.409,0.05,0.168
6.159,3221.774,483.816,-50.851,487.628,50.908,347.962,0.106,347.962,0.017,60.853,2.406,42,-87.999,32.152,7.41E-04,0,8.48E-04,0.001,34.953,4.48,200.756,1.563,83.743,67.752,3.105,0.443,2.48E+07,0,91.046,0.562,0.562,0.33,0.078,0.145,1.49E-04,6.98E-04,-3.80E-04,0,0,0,0,5.75E-06,0.053,5.15,20.831,82.832,0.028,0,45.014,877.965,1101.314,0.05,0.169
6.209,3245.901,481.278,-50.637,485.095,50.692,351.001,0.108,351.001,0.018,60.734,2.371,42,-87.999,32.152,0.002,0,-0.001,5.31E-04,34.953,4.48,200.756,1.563,84.457,67.752,3.244,0.441,2.46E+07,0,89.995,0.562,0.562,0.33,0.078,0.145,4.34E-04,0.001,4.32E-04,0,0,0,0,-1.42E-05,0.053,5.15,20.831,82.806,0.026,0,44.928,877.183,1101.219,0.05,0.17
6.259,3269.902,478.752,-50.423,482.574,50.478,354.035,0.11,354.035,0.018,60.616,2.342,42,-87.999,32.152,0.004,0,-0.001,2.82E-04,34.953,4.48,200.756,1.563,84.59,67.752,3.27,0.438,2.45E+07,0,88.957,0.562,0.562,0.331,0.078,0.145,7.37E-04,0.002,3.32E-04,0,0,0,0,-1.52E-05,0.053,5.15,20.831,82.78,0.026,0,44.843,876.405,1101.124,0.05,0.172
6.309,3293.777,476.236,-50.212,480.063,50.266,357.063,0.111,357.063,0.018,60.5,2.318,42,-87.999,32.151,0.004,0,-0.001,2.13E-04,34.953,4.48,200.756,1.563,84.614,67.752,3.274,0.436,2.43E+07,0,87.929,0.561,0.561,0.331,0.078,0.145,8.87E-04,0.003,-4.58E-05,0,0,0,0,-1.43E-05,0.052,5.15,20.831,82.756,0.027,0,44.758,875.631,1101.03,0.05,0.173
6.359,3317.526,473.731,-50.002,477.564,50.055,360.085,0.113,360.085,0.018,60.384,2.302,42,-87.999,32.151,0.004,0,-0.001,1.11E-04,34.953,4.48,200.756,1.563,84.633,67.752,3.278,0.434,2.42E+07,0,86.914,0.561,0.561,0.331,0.078,0.144,7.64E-04,0.003,-3.19E-04,0,0,0,0,-1.38E-05,0.052,5.15,20.831,82.732,0.03,0,44.673,874.861,1100.936,0.05,0.174
6.409,3341.15,471.236,-49.794,475.074,49.846,363.101,0.115,363.101,0.018,60.269,2.293,42,-87.999,32.151,0.002,0,-0.001,-1.50E-05,34.953,4.48,200.756,1.563,84.638,67.752,3.279,0.432,2.41E+07,0,85.91,0.561,0.561,0.331,0.078,0.144,4.45E-04,0.001,3.62E-04,0,0,0,0,-1.33E-05,0.052,5.15,20.831,82.709,0.033,0,44.589,874.095,1100.843,0.05,0.175
6.459,3364.649,468.751,-49.587,472.595,49.64,366.112,0.117,366.112,0.018,60.155,2.286,42,-87.999,32.151,5.02E-04,0,-4.99E-04,-0.001,34.953,4.48,200.756,1.563,83.423,67.752,3.043,0.429,2.39E+07,0,84.917,0.561,0.561,0.331,0.078,0.144,1.01E-04,6.62E-04,-8.34E-05,0,0,0,0,-2.12E-06,0.052,5.15,20.831,82.687,0.036,0,44.505,873.333,1100.751,0.05,0.176
6.509,3388.025,466.277,-49.383,470.127,49.436,369.117,0.118,369.117,0.018,60.041,2.281,42,-87.999,32.151,0.002,0,0.001,-3.51E-04,34.953,4.48,200.756,1.563,84.519,67.752,3.256,0.427,2.38E+07,0,83.935,0.56,0.56,0.331,0.078,0.144,4.34E-04,0.002,4.56E-04,0,0,0,0,1.22E-05,0.051,5.15,20.831,82.665,0.039,0,44.421,872.575,1100.659,0.05,0.177
6.559,3411.277,463.813,-49.181,467.668,49.234,372.116,0.12,372.116,0.018,59.927,2.273,42,-87.999,32.151,0.004,0,0.001,-2.25E-04,34.953,4.48,200.756,1.563,84.579,67.752,3.267,0.425,2.36E+07,0,82.964,0.56,0.56,0.331,0.078,0.143,8.12E-04,0.003,-1.99E-04,0,0,0,0,1.40E-05,0.051,5.15,20.831,82.642,0.039,0,44.339,871.821,1100.567,0.05,0.178
6.609,3434.407,461.359,-48.982,465.22,49.035,375.11,0.122,375.11,0.019,59.813,2.262,42,-87.999,32.151,0.005,0,0.001,-1.29E-04,34.953,4.48,200.756,1.563,84.605,67.752,3.272,0.423,2.35E+07,0,82.004,0.56,0.56,0.331,0.078,0.143,0.001,0.003,-4.73E-04,0,0,0,0,1.56E-05,0.051,5.15,20.831,82.618,0.039,0,44.256,871.071,1100.476,0.05,0.179
6.659,3457.413,458.915,-48.786,462.782,48.838,378.097,0.124,378.097,0.019,59.701,2.245,42,-87.999,32.151,0.006,0,0.001,-6.27E-05,34.953,4.48,200.756,1.563,84.611,67.752,3.274,0.421,2.34E+07,0,81.055,0.56,0.56,0.331,0.078,0.143,0.001,0.003,-9.07E-05,0,0,0,0,1.73E-05,0.05,5.15,20.831,82.594,0.037,0,44.174,870.325,1100.385,0.05,0.18
6.709,3480.298,456.48,-48.593,460.353,48.644,381.08,0.125,381.08,0.019,59.589,2.223,42,-87.999,32.151,0.005,0,0.001,9.44E-06,34.953,4.48,200.756,1.563,84.613,67.752,3.274,0.418,2.32E+07,0,80.116,0.559,0.559,0.331,0.078,0.143,9.96E-04,0.003,4.00E-04,0,0,0,0,1.92E-05,0.05,5.15,20.831,82.568,0.035,0,44.092,869.583,1100.295,0.05,0.18
6.759,3503.062,454.055,-48.403,457.934,48.452,384.056,0.127,384.056,0.019,59.479,2.198,42,-87.999,32.151,0.004,0,0.002,9.39E-05,34.953,4.48,200.756,1.563,84.607,67.752,3.273,0.416,2.31E+07,0,79.188,0.559,0.559,0.331,0.078,0.143,7.27E-04,0.002,-4.78E-04,0,0,0,0,2.08E-05,0.05,5.15,20.831,82.541,0.034,0,44.011,868.845,1100.206,0.05,0.181
6.809,3525.704,451.64,-48.214,455.525,48.263,387.028,0.129,387.028,0.019,59.369,2.17,42,-87.999,32.151,0.002,0,0.002,4.03E-04,34.953,4.48,200.756,1.563,84.514,67.752,3.255,0.414,2.30E+07,0,78.27,0.559,0.559,0.331,0.077,0.142,3.92E-04,0.001,3.02E-04,0,0,0,0,2.07E-05,0.05,5.15,20.831,82.513,0.032,0,43.93,868.111,1100.116,0.05,0.182
6.859,3548.226,449.234,-48.029,453.126,48.076,389.993,0.131,389.993,0.019,59.262,2.142,42,-87.999,32.151,7.05E-04,0,-1.31E-04,0.002,34.953,4.48,200.756,1.563,83.193,67.752,2.998,0.412,2.28E+07,0,77.362,0.559,0.559,0.331,0.077,0.142,1.43E-04,4.82E-04,-3.83E-04,0,0,0,0,-1.60E-07,0.049,5.15,20.831,82.485,0.031,0,43.85,867.381,1100.028,0.05,0.183
6.909,3570.627,446.837,-47.844,450.736,47.891,392.954,0.133,392.954,0.019,59.155,2.116,42,-87.999,32.151,0.002,0,-0.001,5.73E-04,34.953,4.48,200.756,1.563,84.4,67.752,3.233,0.41,2.27E+07,0,76.464,0.559,0.559,0.331,0.077,0.142,3.63E-04,0.001,9.88E-05,0,0,0,0,-1.93E-05,0.049,5.15,20.831,82.457,0.031,0,43.77,866.655,1099.939,0.05,0.183
6.959,3592.91,444.449,-47.662,448.355,47.708,395.909,0.135,395.909,0.019,59.05,2.094,42,-87.999,32.151,0.003,0,-0.001,3.93E-04,34.953,4.48,200.756,1.563,84.501,67.752,3.252,0.408,2.26E+07,0,75.575,0.558,0.558,0.331,0.077,0.142,5.52E-04,0.002,4.58E-04,0,0,0,0,-2.07E-05,0.049,5.15,20.831,82.429,0.031,0,43.691,865.932,1099.852,0.05,0.184
7.009,3615.072,442.071,-47.481,445.983,47.526,398.859,0.137,398.859,0.02,58.946,2.076,42,-87.999,32.15,0.003,0,-0.001,2.88E-04,34.953,4.48,200.756,1.563,84.542,67.752,3.26,0.406,2.24E+07,0,74.697,0.558,0.558,0.331,0.077,0.141,5.92E-04,0.002,3.68E-04,0,0,0,0,-2.05E-05,0.049,5.15,20.831,82.402,0.032,0,43.612,865.214,1099.764,0.05,0.185
7.059,3637.117,439.701,-47.301,443.621,47.346,401.803,0.138,401.803,0.02,58.842,2.062,42,-87.999,32.15,0.002,0,-0.001,2.45E-04,34.953,4.48,200.756,1.563,84.551,67.752,3.262,0.403,2.23E+07,0,73.828,0.558,0.558,0.332,0.077,0.141,4.67E-04,0.002,2.84E-04,0,0,0,0,-2.00E-05,0.048,5.15,20.831,82.375,0.033,0,43.533,864.499,1099.678,0.05,0.186
7.109,3659.043,437.341,-47.123,441.268,47.167,404.743,0.14,404.743,0.02,58.739,2.052,42,-87.999,32.15,0.001,0,-0.001,1.95E-04,34.953,4.48,200.756,1.563,84.564,67.752,3.265,0.401,2.22E+07,0,72.968,0.558,0.558,0.332,0.077,0.141,2.22E-04,8.49E-04,-1.77E-04,0,0,0,0,-1.99E-05,0.048,5.15,20.831,82.349,0.035,0,43.455,863.788,1099.591,0.05,0.187
7.159,3680.851,434.989,-46.946,438.923,46.991,407.677,0.142,407.677,0.02,58.637,2.044,42,-87.998,32.15,5.58E-04,0,0.001,-2.87E-04,34.953,4.48,200.756,1.563,84.533,67.752,3.259,0.399,2.20E+07,0,72.118,0.557,0.557,0.332,0.077,0.141,1.10E-04,5.38E-04,-4.10E-04,0,0,0,0,1.95E-05,0.048,5.15,20.831,82.323,0.037,0,43.377,863.081,1099.505,0.05,0.187
7.209,3702.542,432.646,-46.771,436.588,46.816,410.607,0.144,410.607,0.02,58.535,2.036,42,-87.998,32.15,0.002,0,0.001,-1.75E-04,34.953,4.48,200.756,1.563,84.561,67.752,3.264,0.397,2.19E+07,0,71.277,0.557,0.557,0.332,0.077,0.141,4.75E-04,0.002,-4.20E-04,0,0,0,0,2.06E-05,0.048,5.15,20.831,82.297,0.039,0,43.3,862.378,1099.42,0.05,0.188
7.259,3724.116,430.312,-46.599,434.261,46.643,413.531,0.146,413.531,0.02,58.433,2.027,42,-87.998,32.15,0.004,0,0.001,-1.58E-04,34.953,4.48,200.756,1.563,84.56,67.752,3.264,0.395,2.18E+07,0,70.444,0.557,0.557,0.332,0.077,0.14,7.88E-04,0.002,-4.85E-04,0,0,0,0,2.20E-05,0.047,5.15,20.831,82.271,0.041,0,43.223,861.678,1099.335,0.05,0.189
7.309,3745.573,427.986,-46.428,431.943,46.472,416.45,0.148,416.45,0.02,58.332,2.016,42,-87.998,32.15,0.005,0,0.002,-1.51E-04,34.953,4.48,200.756,1.563,84.557,67.752,3.263,0.393,2.17E+07,0,69.621,0.557,0.557,0.332,0.077,0.14,0.001,0.003,-2.17E-04,0,0,0,0,2.36E-05,0.047,5.15,20.831,82.244,0.041,0,43.146,860.983,1099.25,0.05,0.19
7.359,3766.914,425.669,-46.26,429.634,46.303,419.364,0.15,419.364,0.02,58.232,2.002,42,-87.998,32.15,0.006,0,0.002,-1.08E-04,34.953,4.48,200.756,1.563,84.559,67.752,3.264,0.391,2.15E+07,0,68.807,0.556,0.556,0.332,0.077,0.14,0.001,0.004,-1.84E-04,0,0,0,0,2.58E-05,0.047,5.15,20.831,82.216,0.041,0,43.07,860.291,1099.166,0.05,0.191
7.409,3788.14,423.36,-46.094,427.333,46.137,422.273,0.152,422.273,0.021,58.132,1.985,42,-87.998,32.15,0.005,0,0.002,-8.26E-05,34.953,4.48,200.756,1.563,84.558,67.752,3.263,0.389,2.14E+07,0,68.001,0.556,0.556,0.332,0.077,0.14,0.001,0.004,6.66E-05,0,0,0,0,2.75E-05,0.047,5.15,20.831,82.187,0.04,0,42.995,859.603,1099.083,0.05,0.192
7.459,3809.251,421.059,-45.93,425.04,45.972,425.177,0.154,425.177,0.021,58.033,1.966,42,-87.998,32.15,0.005,0,0.002,2.72E-06,34.953,4.48,200.756,1.563,84.561,67.752,3.264,0.387,2.13E+07,0,67.205,0.556,0.556,0.332,0.077,0.139,8.95E-04,0.003,-5.14E-05,0,0,0,0,2.98E-05,0.046,5.15,20.831,82.157,0.039,0,42.919,858.918,1099,0.05,0.193
7.509,3830.246,418.767,-45.768,422.756,45.809,428.077,0.156,428.077,0.021,57.936,1.944,42,-87.998,32.15,0.003,0,0.002,9.66E-05,34.953,4.48,200.756,1.563,84.555,67.752,3.263,0.385,2.12E+07,0,66.416,0.556,0.556,0.332,0.077,0.139,6.46E-04,0.002,3.70E-04,0,0,0,0,3.12E-05,0.046,5.15,20.831,82.126,0.038,0,42.844,858.237,1098.917,0.05,0.194
7.559,3851.127,416.483,-45.608,420.48,45.649,430.971,0.158,430.971,0.021,57.839,1.921,42,-87.998,32.15,0.002,0,0.002,3.93E-04,34.953,4.48,200.756,1.563,84.487,67.752,3.25,0.383,2.10E+07,0,65.636,0.556,0.556,0.332,0.077,0.139,3.46E-04,7.07E-04,-2.56E-04,0,0,0,0,3.11E-05,0.046,5.15,20.831,82.095,0.037,0,42.77,857.56,1098.835,0.05,0.194
7.609,3871.895,414.206,-45.45,418.212,45.49,433.86,0.16,433.861,0.021,57.743,1.899,42,-87.998,32.15,6.56E-04,0,5.11E-04,0.002,34.953,4.48,200.756,1.563,83.253,67.752,3.01,0.381,2.09E+07,0,64.864,0.555,0.555,0.332,0.076,0.139,1.32E-04,5.94E-04,-4.00E-04,0,0,0,0,2.84E-06,0.046,5.15,20.831,82.064,0.035,0,42.696,856.887,1098.753,0.05,0.195
7.659,3892.548,411.938,-45.293,415.952,45.332,436.745,0.162,436.745,0.021,57.649,1.878,42,-87.998,32.15,0.001,0,-0.001,0.001,34.953,4.48,200.756,1.563,84.036,67.752,3.162,0.379,2.08E+07,0,64.101,0.555,0.555,0.332,0.076,0.139,2.73E-04,0.001,1.79E-04,0,0,0,0,-2.19E-05,0.045,5.15,20.831,82.032,0.034,0,42.622,856.217,1098.671,0.05,0.196
7.709,3913.089,409.677,-45.138,413.7,45.176,439.625,0.164,439.625,0.021,57.556,1.86,42,-87.998,32.15,0.002,0,-0.002,7.01E-04,34.953,4.48,200.756,1.563,84.311,67.752,3.215,0.377,2.07E+07,0,63.345,0.555,0.555,0.332,0.076,0.138,4.19E-04,0.001,-3.62E-04,0,0,0,0,-2.81E-05,0.045,5.15,20.831,82.001,0.034,0,42.549,855.552,1098.591,0.05,0.196
7.759,3933.516,407.424,-44.984,411.456,45.021,442.501,0.166,442.501,0.021,57.463,1.844,42,-87.998,32.149,0.002,0,-0.002,6.43E-04,34.953,4.48,200.756,1.563,84.348,67.752,3.223,0.375,2.05E+07,0,62.597,0.555,0.555,0.332,0.076,0.138,4.49E-04,0.002,-2.54E-04,0,0,0,0,-2.88E-05,0.045,5.15,20.831,81.97,0.034,0,42.476,854.889,1098.51,0.05,0.197
7.809,3953.831,405.178,-44.831,409.22,44.868,445.372,0.168,445.372,0.022,57.371,1.831,42,-87.998,32.149,0.002,-5.12E-09,-0.002,6.15E-04,34.953,4.48,200.756,1.563,84.363,67.752,3.225,0.373,2.04E+07,0,61.858,0.555,0.555,0.332,0.076,0.138,3.75E-04,0.001,1.99E-04,0,0,0,0,-2.85E-05,0.045,5.15,20.831,81.939,0.036,0,42.404,854.231,1098.43,0.05,0.198
7.859,3974.034,402.941,-44.679,406.992,44.716,448.238,0.17,448.238,0.022,57.28,1.821,42,-87.998,32.149,8.38E-04,0,-0.002,7.17E-04,34.953,4.48,200.756,1.563,84.287,67.752,3.211,0.371,2.03E+07,0,61.126,0.554,0.554,0.332,0.076,0.138,1.65E-04,0.001,-7.22E-05,0,0,0,0,-2.68E-05,0.044,5.15,20.831,81.909,0.038,0,42.332,853.576,1098.35,0.05,0.198
7.909,3994.125,400.711,-44.529,404.771,44.566,451.1,0.172,451.1,0.022,57.189,1.812,42,-87.998,32.149,5.87E-04,0,0.002,1.89E-04,34.953,4.48,200.756,1.563,84.516,67.752,3.255,0.369,2.02E+07,0,60.402,0.554,0.554,0.332,0.076,0.138,1.15E-04,1.21E-04,3.78E-05,0,0,0,0,3.26E-05,0.044,5.15,20.831,81.878,0.04,0,42.26,852.924,1098.271,0.05,0.199
7.959,4014.105,398.488,-44.38,402.558,44.417,453.957,0.174,453.957,0.022,57.099,1.804,42,-87.998,32.149,0.002,0,0.002,-1.39E-04,34.953,4.48,200.756,1.563,84.524,67.752,3.257,0.367,2.00E+07,0,59.685,0.554,0.554,0.332,0.076,0.137,4.17E-04,0.002,2.54E-04,0,0,0,0,3.35E-05,0.044,5.15,20.831,81.848,0.042,0,42.189,852.276,1098.193,0.05,0.2
8.009,4033.974,396.272,-44.233,400.352,44.269,456.81,0.176,456.81,0.022,57.009,1.795,42,-87.998,32.149,0.004,0,0.002,-2.09E-04,34.953,4.48,200.756,1.563,84.51,67.752,3.254,0.365,1.99E+07,0,58.976,0.554,0.554,0.333,0.076,0.137,7.04E-04,0.002,-3.96E-06,0,0,0,0,3.49E-05,0.044,5.15,20.831,81.817,0.044,0,42.118,851.632,1098.114,0.05,0.2
8.059,4053.733,394.064,-44.088,398.154,44.124,459.658,0.178,459.658,0.022,56.919,1.785,42,-87.998,32.149,0.005,0,0.002,-2.65E-04,34.953,4.48,200.756,1.563,84.493,67.752,3.251,0.363,1.98E+07,0,58.274,0.554,0.554,0.333,0.076,0.137,9.29E-04,0.003,4.71E-04,0,0,0,0,3.63E-05,0.044,5.15,20.831,81.786,0.046,0,42.047,850.992,1098.037,0.05,0.201
8.109,4073.381,391.864,-43.944,395.963,43.98,462.502,0.18,462.502,0.022,56.83,1.774,42,-87.998,32.149,0.005,0,0.002,-2.59E-04,34.953,4.48,200.756,1.563,84.492,67.752,3.251,0.361,1.97E+07,0,57.579,0.553,0.553,0.333,0.076,0.137,0.001,0.003,4.07E-04,0,0,0,0,3.87E-05,0.043,5.15,20.831,81.754,0.047,0,41.977,850.355,1097.959,0.05,0.201
8.159,4092.919,389.67,-43.802,393.78,43.837,465.341,0.182,465.341,0.022,56.742,1.761,42,-87.998,32.149,0.006,0,0.002,-2.61E-04,34.953,4.48,200.756,1.563,84.487,67.752,3.25,0.359,1.96E+07,0,56.892,0.553,0.553,0.333,0.076,0.137,0.001,0.003,3.04E-04,0,0,0,0,4.13E-05,0.043,5.15,20.831,81.721,0.048,0,41.908,849.721,1097.882,0.05,0.202
8.209,4112.348,387.483,-43.662,391.603,43.697,468.176,0.184,468.176,0.023,56.654,1.746,42,-87.998,32.149,0.005,0,0.002,-2.53E-04,34.953,4.48,200.756,1.563,84.486,67.752,3.249,0.357,1.95E+07,0,56.212,0.553,0.553,0.333,0.076,0.137,0.001,0.004,3.41E-04,0,0,0,0,4.33E-05,0.043,5.15,20.831,81.687,0.048,0,41.838,849.091,1097.806,0.05,0.203
8.259,4131.667,385.304,-43.523,389.434,43.558,471.006,0.186,471.006,0.023,56.567,1.729,42,-87.998,32.149,0.005,0,0.002,-1.90E-04,34.953,4.48,200.756,1.563,84.496,67.752,3.251,0.355,1.93E+07,0,55.539,0.553,0.553,0.333,0.076,0.136,9.39E-04,0.003,3.09E-04,0,0,0,0,4.63E-05,0.043,5.15,20.831,81.653,0.047,0,41.77,848.465,1097.73,0.05,0.203
8.309,4150.878,383.131,-43.387,387.272,43.42,473.832,0.188,473.833,0.023,56.481,1.712,42,-87.998,32.149,0.004,0,0.002,-1.18E-04,34.953,4.48,200.756,1.563,84.504,67.752,3.253,0.353,1.92E+07,0,54.873,0.553,0.553,0.333,0.076,0.136,7.41E-04,0.003,2.01E-04,0,0,0,0,4.87E-05,0.042,5.15,20.831,81.618,0.045,0,41.701,847.842,1097.654,0.05,0.204
8.359,4169.981,380.965,-43.251,385.117,43.284,476.654,0.19,476.654,0.023,56.396,1.694,42,-87.998,32.149,0.003,0,0.002,4.40E-05,34.953,4.48,200.756,1.563,84.508,67.752,3.254,0.351,1.91E+07,0,54.214,0.553,0.553,0.333,0.076,0.136,5.38E-04,0.001,3.38E-04,0,0,0,0,5.08E-05,0.042,5.15,20.831,81.582,0.044,0,41.633,847.223,1097.579,0.05,0.204
8.409,4188.975,378.806,-43.117,382.969,43.15,479.472,0.193,479.472,0.023,56.312,1.677,42,-87.998,32.149,0.002,0,0.002,3.25E-04,34.953,4.48,200.756,1.563,84.47,67.752,3.246,0.349,1.90E+07,0,53.561,0.552,0.552,0.333,0.076,0.136,3.25E-04,9.45E-04,1.65E-04,0,0,0,0,5.05E-05,0.042,5.15,20.831,81.546,0.042,0,41.565,846.607,1097.504,0.05,0.205
8.459,4207.861,376.653,-42.984,380.827,43.016,482.286,0.195,482.286,0.023,56.228,1.66,42,-87.998,32.149,8.65E-04,0,0.002,0.001,34.953,4.48,200.756,1.563,84.139,67.752,3.182,0.347,1.89E+07,0,52.916,0.552,0.552,0.333,0.076,0.136,1.71E-04,7.11E-04,8.71E-05,0,0,0,0,3.96E-05,0.042,5.15,20.831,81.51,0.041,0,41.498,845.994,1097.429,0.05,0.206
8.509,4226.64,374.507,-42.853,378.693,42.885,485.095,0.197,485.095,0.023,56.146,1.645,42,-87.998,32.149,6.01E-04,0,3.06E-04,0.002,34.953,4.48,200.756,1.563,83.111,67.752,2.982,0.345,1.88E+07,0,52.277,0.552,0.552,0.333,0.076,0.135,1.21E-04,2.68E-04,-2.07E-05,0,0,0,0,1.24E-06,0.041,5.15,20.831,81.474,0.04,0,41.431,845.394,1097.355,0.05,0.206
8.559,4245.312,372.368,-42.723,376.565,42.754,487.9,0.199,487.9,0.023,56.064,1.631,42,-87.998,32.149,6.83E-04,0,-4.25E-04,0.002,34.953,4.48,200.756,1.563,83.138,67.752,2.988,0.343,1.86E+07,0,51.646,0.552,0.552,0.333,0.075,0.135,1.37E-04,4.09E-04,2.52E-04,0,0,0,0,-2.43E-06,0.041,5.15,20.831,81.438,0.04,0,41.364,844.818,1097.282,0.05,0.207
8.609,4263.877,370.235,-42.594,374.444,42.625,490.701,0.201,490.701,0.024,55.983,1.618,42,-87.998,32.148,5.81E-04,0,-3.05E-04,0.002,34.953,4.48,200.756,1.563,83.106,67.752,2.981,0.341,1.85E+07,0,51.022,0.552,0.552,0.333,0.075,0.135,1.17E-04,7.44E-04,-4.08E-04,0,0,0,0,-1.27E-06,0.041,5.15,20.831,81.401,0.041,0,41.298,844.245,1097.209,0.05,0.209
8.659,4282.336,368.109,-42.466,372.329,42.497,493.498,0.204,493.498,0.024,55.902,1.607,42,-87.998,32.148,6.34E-04,0,0.001,0.002,34.953,4.48,200.756,1.563,83.596,67.752,3.077,0.339,1.84E+07,0,50.404,0.551,0.551,0.333,0.075,0.135,1.26E-04,3.34E-04,-2.26E-04,0,0,0,0,2.15E-05,0.041,5.15,20.831,81.365,0.042,0,41.232,843.676,1097.136,0.05,0.209
8.709,4300.688,365.988,-42.34,370.221,42.37,496.292,0.206,496.292,0.024,55.822,1.597,42,-87.998,32.148,0.001,-5.31E-09,0.002,5.83E-04,34.953,4.48,200.756,1.563,84.361,67.752,3.225,0.337,1.83E+07,0,49.793,0.551,0.551,0.333,0.075,0.135,2.10E-04,0.001,1.44E-04,0,0,0,0,5.19E-05,0.04,5.15,20.831,81.329,0.043,0,41.167,843.11,1097.064,0.05,0.21
8.759,4318.935,363.875,-42.215,368.119,42.244,499.081,0.208,499.081,0.024,55.742,1.587,42,-87.998,32.148,0.002,0,0.002,1.39E-05,34.953,4.48,200.756,1.563,84.488,67.752,3.25,0.336,1.82E+07,0,49.187,0.551,0.551,0.333,0.075,0.135,3.86E-04,0.001,-3.10E-04,0,0,0,0,5.78E-05,0.04,5.15,20.831,81.292,0.045,0,41.102,842.547,1096.992,0.05,0.211
8.809,4337.076,361.767,-42.09,366.024,42.12,501.866,0.21,501.866,0.024,55.663,1.578,42,-87.998,32.148,0.003,0,0.002,-1.95E-04,34.953,4.48,200.756,1.563,84.473,67.752,3.247,0.334,1.81E+07,0,48.588,0.551,0.551,0.333,0.075,0.134,5.88E-04,0.002,-2.03E-04,0,0,0,0,5.89E-05,0.04,5.15,20.831,81.256,0.047,0,41.037,841.987,1096.92,0.05,0.211
8.859,4355.112,359.666,-41.967,363.935,41.997,504.647,0.212,504.647,0.024,55.584,1.569,42,-87.998,32.148,0.004,0,0.002,-2.31E-04,34.953,4.48,200.756,1.563,84.465,67.752,3.245,0.332,1.80E+07,0,47.995,0.551,0.551,0.333,0.075,0.134,7.91E-04,0.003,7.88E-05,0,0,0,0,6.09E-05,0.04,5.15,20.831,81.219,0.049,0,40.973,841.431,1096.849,0.05,0.212
8.909,4373.043,357.57,-41.846,361.853,41.875,507.424,0.215,507.424,0.024,55.506,1.56,42,-87.998,32.148,0.005,0,0.002,-2.80E-04,34.953,4.48,200.756,1.563,84.454,67.752,3.243,0.33,1.79E+07,0,47.408,0.551,0.551,0.333,0.075,0.134,9.68E-04,0.003,-7.98E-05,0,0,0,0,6.28E-05,0.04,5.15,20.831,81.181,0.051,0,40.909,840.877,1096.779,0.05,0.212
8.959,4390.869,355.481,-41.726,359.776,41.754,510.198,0.217,510.198,0.024,55.429,1.549,42,-87.998,32.148,0.006,0,0.002,-3.09E-04,34.953,4.48,200.756,1.563,84.445,67.752,3.241,0.328,1.78E+07,0,46.826,0.55,0.55,0.333,0.075,0.134,0.001,0.003,-4.02E-04,0,0,0,0,6.54E-05,0.039,5.15,20.831,81.143,0.052,0,40.845,840.327,1096.709,0.05,0.213
9.009,4408.591,353.398,-41.607,357.706,41.635,512.967,0.219,512.967,0.024,55.351,1.539,42,-87.998,32.148,0.006,0,0.002,-2.89E-04,34.953,4.48,200.756,1.563,84.446,67.752,3.242,0.326,1.76E+07,0,46.251,0.55,0.55,0.333,0.075,0.134,0.001,0.004,1.16E-04,0,0,0,0,6.88E-05,0.039,5.15,20.831,81.104,0.053,0,40.782,839.781,1096.639,0.05,0.214
9.059,4426.209,351.32,-41.489,355.642,41.517,515.733,0.221,515.733,0.025,55.275,1.527,42,-87.998,32.148,0.006,0,0.002,-2.52E-04,34.953,4.48,200.756,1.563,84.449,67.752,3.242,0.324,1.75E+07,0,45.682,0.55,0.55,0.333,0.075,0.134,0.001,0.004,1.29E-04,0,0,0,0,7.23E-05,0.039,5.15,20.831,81.065,0.052,0,40.719,839.237,1096.569,0.05,0.214
