Type,Units,Time,X Position,Y Position,Y Encoder,Z Position,Z Encoder,Yaw,Pitch,WAFBC Drag,WAFBC Side,WAFBC Lift,WAFBC Roll,WAFBC Pitch,WAFBC Yaw,WAFMC Drag,WAFMC Side,WAFMC Lift,WAFMC Roll,WAFMC Pitch,WAFMC Yaw,BAFMC Axial,BAFMC Side,BAFMC Normal,BAFMC Roll,BAFMC Pitch,BAFMC Yaw,DPT250,DPT251,PT250,TE250,Velocity,Dynamic Pressure,Mach,Reynolds Number per ft,Velocity Setpoint,Temperature Setpoint,cDAQ AI0,cDAQ AI1,cDAQ AI2,cDAQ AI3,cDAQ AI4,cDAQ AI5,cDAQ AI6,cDAQ AI7,cRIO AI0,cRIO AI1,cRIO AI2,cRIO AI3,Drag (raw),Side (raw),Lift (raw),Roll (raw),Pitch (raw),Yaw (raw)
Type,USC / SI,Time,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Degrees / Degrees,Degrees / Degrees,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,PSId / Pascals,PSId / Pascals,PSIa / Pascals,F / F,Ft/s / m/s,PSId / Pascals, / ,1/ft / 1/ft,ft/s / m/s,F / F, / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / 
Sing,USC,250217 10:32:29.672, 0.000000, 0.000000, 0.000000, 0.000000, 0.000460,-0.999997, 0.000000,12.256017,-4.468135, 1.026993, 1.688101,-12.918937,20.009053,12.256017,-4.468135, 1.026993, 1.688101,-12.918937,20.009053,12.176171,-4.681350, 1.026993, 1.462378,-12.946431,20.009053, 0.156923, 0.718559,14.639669,70.817777,299.948104, 0.723235, 0.265651,1825735.983333,300.000000,68.256863,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 1.012795,-0.003031, 0.002207, 0.020515,-0.081157,,,,,
Sing,USC,250217 10:32:51.971, 0.000000, 0.000000, 0.000000, 0.000000, 0.000472, 0.000001, 0.000000,12.259915,-1.119513, 1.071831, 0.200659,-11.905704, 7.394855,12.259915,-1.119513, 1.071831, 0.200659,-11.905704, 7.394855,12.259915,-1.119513, 1.071831, 0.200659,-11.905704, 7.394855, 0.156907, 0.718618,14.640926,70.833051,299.976708, 0.723347, 0.265672,1825804.168333,300.000000,68.256863,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 1.012570,-0.002983, 0.002191, 0.021462,-0.081757,,,,,
Sing,USC,250217 10:33:14.273, 0.000000, 0.000000, 0.000000, 0.000000, 0.000472, 0.999999, 0.000000,12.409509, 2.047916, 1.225047,-1.168018,-11.604422,-4.333625,12.409509, 2.047916, 1.225047,-1.168018,-11.604422,-4.333625,12.371878, 2.264180, 1.225047,-0.965315,-11.623039,-4.333625, 0.156928, 0.718434,14.640573,70.849972,299.934293, 0.723131, 0.265631,1825472.415833,300.000000,68.256863,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 1.016791,-0.002968, 0.002155, 0.021104,-0.083613,,,,,
Sing,USC,250217 10:33:36.571, 0.000000, 0.000000, 0.000000, 0.000000, 0.000472, 2.000000, 0.000000,12.544713, 5.244135, 1.474254,-2.749555,-11.721798,-15.950994,12.544713, 5.244135, 1.474254,-2.749555,-11.721798,-15.950994,12.354053, 5.678744, 1.474254,-2.338795,-11.810615,-15.950995, 0.156923, 0.718743,14.639016,70.869064,300.011720, 0.723410, 0.265694,1825654.191667,300.000000,68.256863,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 1.015833,-0.002997, 0.002014, 0.020447,-0.085791,,,,,
Sing,USC,250217 10:33:58.873, 0.000000, 0.000000, 0.000000, 0.000000, 0.000472, 3.000001, 0.000000,12.694820, 7.130915, 1.659580,-3.674840,-11.869598,-22.780832,12.694820, 7.130915, 1.659580,-3.674840,-11.869598,-22.780832,12.304218, 7.785538, 1.659580,-3.048596,-12.045658,-22.780832, 0.156922, 0.718772,14.637221,70.900215,300.059505, 0.723508, 0.265729,1825529.463333,300.000000,68.256863,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 1.018600,-0.003005, 0.002154, 0.019485,-0.087537,,,,,
Sing,USC,250217 10:34:21.170, 0.000000, 0.000000, 0.000000, 0.000000, 0.000472, 4.000000, 0.000000,12.837748, 9.438825, 1.905176,-4.861606,-12.240881,-31.252592,12.837748, 9.438825, 1.905176,-4.861606,-12.240881,-31.252592,12.148057,10.311349, 1.905176,-3.995883,-12.550191,-31.252592, 0.156928, 0.718540,14.638429,70.954957,300.011898, 0.723221, 0.265673,1824949.498333,300.000000,68.256863,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 1.021382,-0.003010, 0.002305, 0.020069,-0.089393,,,,,
Sing,USC,250217 10:34:43.469, 0.000000, 0.000000, 0.000000, 0.000000, 0.000472, 5.000000, 0.000000,13.035870,12.340246, 2.228799,-6.264307,-12.922044,-42.017956,13.035870,12.340246, 2.228799,-6.264307,-12.922044,-42.017956,11.910741,13.429439, 2.228799,-5.114239,-13.418842,-42.017956, 0.156927, 0.718613,14.637457,71.029438,300.051618, 0.723284, 0.265690,1824668.266667,300.000000,68.256863,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 1.015800,-0.002984, 0.002335, 0.020812,-0.091888,,,,,
Sing,USC,250217 10:35:05.771, 0.000000, 0.000000, 0.000000, 0.000000, 0.000472, 6.000000, 0.000000,13.353077,15.859443, 2.612156,-7.831330,-13.274292,-55.276081,13.353077,15.859443, 2.612156,-7.831330,-13.274292,-55.276081,11.622164,17.168340, 2.612156,-6.400888,-14.020171,-55.276081, 0.156924, 0.718615,14.639504,71.097879,300.042654, 0.723259, 0.265664,1824478.725833,300.000000,68.256863,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 1.015635,-0.003086, 0.002237, 0.021570,-0.095425,,,,,
