Type,Units,Time,X Position,Y Position,Y Encoder,Z Position,Z Encoder,Yaw,Pitch,WAFBC Drag,WAFBC Side,WAFBC Lift,WAFBC Roll,WAFBC Pitch,WAFBC Yaw,WAFMC Drag,WAFMC Side,WAFMC Lift,WAFMC Roll,WAFMC Pitch,WAFMC Yaw,BAFMC Axial,BAFMC Side,BAFMC Normal,BAFMC Roll,BAFMC Pitch,BAFMC Yaw,DPT250,DPT251,PT250,TE250,Velocity,Dynamic Pressure,Mach,Reynolds Number per ft,Velocity Setpoint,Temperature Setpoint,cDAQ AI0,cDAQ AI1,cDAQ AI2,cDAQ AI3,cDAQ AI4,cDAQ AI5,cDAQ AI6,cDAQ AI7,cRIO AI0,cRIO AI1,cRIO AI2,cRIO AI3,Drag (raw),Side (raw),Lift (raw),Roll (raw),Pitch (raw),Yaw (raw),Velocity (fps),Actuation State,Is Image,Key,Load Cell Drag,Base Model Drag,Image Drag,Top Mount Drag,Bottom Mount Drag,ADS Drag,Total Vehicle Drag,Reynolds Number,Cd,Cp from Tip,Real Actuation State
Sing,USC,250217 10:24:53.275,0.0,0.0,0.0,0.0,0.000394,6.0,0.0,11.812821,16.003506,2.575836,-7.752915,-12.963339,-55.741731,11.812821,16.003506,2.575836,-7.752915,-12.963339,-55.741731,10.075288,17.150613,2.575836,-6.355406,-13.702725,-55.741731,0.156923,0.719195,14.636665,70.702593,300.091041,0.723862,0.265806,1826754.886667,300.0,68.256863,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.017986,-0.003081,0.002201,0.020553,-0.085202,,,,,,300,20,False,"(300, 20, 6.0, False)",11.812821,6.973601000000002,15.221165,4.1237819999999985,4.1237819999999985,0.7154379999999989,7.689039000000001,783982.3055279208,0.5099466633625552,6.941428287651468,7.21
Sing,USC,250217 14:10:51.923,0.0,0.0,0.0,0.0,0.000709,-1.0,0.0,0.395895,-0.25373,-0.139531,2.209103,-0.883864,1.13957,0.395895,-0.25373,-0.139531,2.209103,-0.883864,1.13957,0.391406,-0.260601,-0.139531,2.193341,-0.922284,1.13957,0.020267,0.01984,14.718371,65.590127,49.990204,0.020398,0.044494,311333.520417,50.0,68.256863,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.014673,-0.003067,0.002088,0.020518,-0.002675,,,,,,50,60,False,"(50, 60, -1.0, False)",0.395895,0.21483099999999994,0.430429,0.10779900000000003,0.10779900000000003,0.07326500000000002,0.28809599999999996,133613.9691789625,0.6780443637013793,7.949603581234646,38.12
Sing,USC,250217 14:11:19.822,0.0,0.0,0.0,0.0,0.000709,0.0,0.0,0.404272,-0.124769,-0.158389,1.129316,-0.593001,0.659154,0.404272,-0.124769,-0.158389,1.129316,-0.593001,0.659154,0.404272,-0.124769,-0.158389,1.129316,-0.593001,0.659154,0.02027,0.019807,14.719811,65.58482,49.993303,0.020402,0.044497,311383.288333,50.0,68.256863,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.011881,-0.003041,0.002008,0.020893,-0.002724,,,,,,50,60,False,"(50, 60, 0.0, False)",0.404272,0.22978500000000002,0.435805,0.10300999999999999,0.10300999999999999,0.07147700000000001,0.30126200000000003,133635.32790957918,0.7088920091859885,8.741328308046603,38.12
Sing,USC,250217 14:11:47.521,0.0,0.0,0.0,0.0,0.000709,1.0,0.0,0.406706,-0.009839,-0.170014,0.064767,-0.384466,0.235805,0.406706,-0.009839,-0.170014,0.064767,-0.384466,0.235805,0.406816,-0.002739,-0.170014,0.071467,-0.383277,0.235805,0.020266,0.019889,14.719524,65.580608,49.989585,0.0204,0.044494,311373.551458,50.0,68.256863,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.012135,-0.003086,0.001904,0.018303,-0.002734,,,,,,50,60,False,"(50, 60, 1.0, False)",0.406706,0.23042900000000005,0.440625,0.10509799999999997,0.10509799999999997,0.07117899999999999,0.30160800000000004,133631.14916739168,0.7097757520904858,27.424691703086353,38.12
Sing,USC,250217 14:12:15.318,0.0,0.0,0.0,0.0,0.000709,2.0,0.0,0.421945,0.120602,-0.163658,-1.023052,-0.199456,-0.230321,0.421945,0.120602,-0.163658,-1.023052,-0.199456,-0.230321,0.417479,0.135254,-0.163658,-1.015468,-0.235039,-0.230321,0.020276,0.019927,14.718552,65.579081,49.998868,0.020403,0.044502,311367.680417,50.0,68.256863,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.012717,-0.003047,0.001994,0.021396,-0.002847,,,,,,50,60,False,"(50, 60, 2.0, False)",0.421945,0.245102,0.447188,0.101043,0.101043,0.07580000000000003,0.320902,133628.62951229585,0.7550693879501746,5.3680943654886875,38.12
Sing,USC,250217 14:12:43.220,0.0,0.0,0.0,0.0,0.000709,3.0,0.0,0.434043,0.233645,-0.172322,-2.103288,-0.101883,-0.651015,0.434043,0.233645,-0.172322,-2.103288,-0.101883,-0.651015,0.42122,0.256041,-0.172322,-2.095073,-0.211821,-0.651015,0.020294,0.019922,14.718352,65.578443,50.023594,0.020424,0.044524,311539.918333,50.0,68.256863,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.013585,-0.003091,0.00198,0.019269,-0.002946,,,,,,50,60,False,"(50, 60, 3.0, False)",0.434043,0.250245,0.452679,0.101217,0.101217,0.08258100000000002,0.332826,133702.54828457916,0.7823208643405691,6.244675861527817,38.12
Sing,USC,250217 14:13:11.131,0.0,0.0,0.0,0.0,0.000709,4.0,-0.0,0.45789,0.365444,-0.166198,-3.194366,-0.030899,-1.117734,0.45789,0.365444,-0.166198,-3.194366,-0.030899,-1.117734,0.431282,0.396495,-0.166198,-3.184429,-0.253651,-1.117734,0.020282,0.019896,14.722649,65.580678,49.99835,0.02041,0.044502,311480.499375,50.0,68.256863,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.016645,-0.003048,0.002021,0.02064,-0.003131,,,,,,50,60,False,"(50, 60, 4.0, False)",0.45789,0.27927,0.464534,0.09263199999999999,0.09263199999999999,0.08598800000000001,0.365258,133677.04764843752,0.8591424961072216,6.51689770981783,38.12
Sing,USC,250217 14:13:39.021,0.0,0.0,0.0,0.0,0.000709,5.0,0.0,0.476889,0.498729,-0.150222,-4.275401,0.027735,-1.628576,0.476889,0.498729,-0.150222,-4.275401,0.027735,-1.628576,0.431607,0.538395,-0.150222,-4.261549,-0.344996,-1.628576,0.020288,0.019875,14.721254,65.581307,50.011742,0.020417,0.044513,311499.590625,50.0,68.256863,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.015939,-0.003042,0.00203,0.018305,-0.003285,,,,,,50,60,False,"(50, 60, 5.0, False)",0.476889,0.296596,0.482488,0.09294599999999997,0.09294599999999997,0.08734700000000001,0.38394300000000003,133685.24097656252,0.9027828378107414,6.723786114302557,38.12
Sing,USC,250217 14:14:06.920,0.0,0.0,0.0,0.0,0.000709,6.0,0.0,0.491571,0.634897,-0.131773,-5.369677,0.039172,-2.184971,0.491571,0.634897,-0.131773,-5.369677,0.039172,-2.184971,0.422513,0.682802,-0.131773,-5.344355,-0.522327,-2.184971,0.020291,0.019938,14.721214,65.580293,50.022853,0.020427,0.044523,311581.599583,50.0,68.256863,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.013222,-0.003043,0.00208,0.020665,-0.003414,,,,,,50,60,False,"(50, 60, 6.0, False)",0.491571,0.327167,0.501299,0.08706600000000003,0.08706600000000003,0.07733799999999996,0.40450499999999995,133720.4364877042,0.9506655897677045,6.899790766586285,38.12
Sing,USC,250217 13:41:27.328,0.0,0.0,0.0,0.0,0.000787,-1.0,0.0,1.732239,-1.094225,-0.052831,2.266937,-2.20633,4.629855,1.732239,-1.094225,-0.052831,2.266937,-2.20633,4.629855,1.712878,-1.12429,-0.052831,2.228086,-2.245558,4.629855,0.080886,0.080863,14.719448,66.870562,99.991105,0.081409,0.088889,620048.6225,100.0,68.256863,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.015461,-0.003058,0.001965,0.020702,-0.011452,,,,,,100,100,False,"(100, 100, -1.0, False)",1.732239,0.7241790000000001,1.661561,0.46869099999999997,0.46869099999999997,0.539369,1.2635480000000001,266104.20048958337,0.7451226991770498,7.68950608116856,100.0
Sing,USC,250217 13:41:54.435,0.0,0.0,0.0,0.0,0.000787,0.0,0.0,1.723139,-0.627382,-0.077216,1.168873,-1.804019,2.795248,1.723139,-0.627382,-0.077216,1.168873,-1.804019,2.795248,1.723139,-0.627382,-0.077216,1.168873,-1.804019,2.795248,0.080859,0.080769,14.722288,66.876299,99.965021,0.081384,0.088865,620014.080833,100.0,68.256863,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.014576,-0.003078,0.001928,0.020596,-0.011446,,,,,,100,100,False,"(100, 100, 0.0, False)",1.723139,0.7485999999999999,1.650524,0.4509620000000001,0.4509620000000001,0.523577,1.272177,266089.37635749584,0.750441732307103,7.91374965066472,100.0
Sing,USC,250217 13:42:21.526,0.0,0.0,0.0,0.0,0.000787,1.0,0.0,1.735039,-0.183245,-0.084803,0.079878,-1.574775,1.136212,1.735039,-0.183245,-0.084803,0.079878,-1.574775,1.136212,1.737973,-0.152936,-0.084803,0.107349,-1.573141,1.136212,0.080887,0.080844,14.723418,66.885035,99.981426,0.081414,0.088879,620130.781667,100.0,68.256863,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.017193,-0.003085,0.001912,0.02227,-0.011579,,,,,,100,100,False,"(100, 100, 1.0, False)",1.735039,0.729776,1.660416,0.46531999999999996,0.46531999999999996,0.5399430000000001,1.269719,266139.46046542085,0.7487157942850183,9.658840850591648,100.0
Sing,USC,250217 13:42:48.626,0.0,0.0,0.0,0.0,0.000787,2.0,0.0,1.760919,0.246228,-0.071602,-1.035044,-1.321643,-0.480203,1.760919,0.246228,-0.071602,-1.035044,-1.321643,-0.480203,1.751253,0.307533,-0.071602,-0.988289,-1.35696,-0.480203,0.080881,0.080828,14.723023,66.893651,99.984135,0.081414,0.088881,620104.114167,100.0,68.256863,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.016544,-0.003037,0.001885,0.021672,-0.011839,,,,,,100,100,False,"(100, 100, 2.0, False)",1.760919,0.7743009999999997,1.672303,0.4490010000000002,0.4490010000000002,0.537617,1.3119179999999997,266128.01566333754,0.7735992982752975,5.408570511883295,100.0
Sing,USC,250217 13:43:15.732,0.0,0.0,0.0,0.0,0.000787,3.0,0.0,1.789141,0.708542,-0.039214,-2.174125,-1.298819,-2.142275,1.789141,0.708542,-0.039214,-2.174125,-1.298819,-2.142275,1.749607,0.801207,-0.039214,-2.10317,-1.410824,-2.142275,0.080905,0.080865,14.719111,66.902039,100.012512,0.081435,0.088905,620079.79375,100.0,68.256863,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.015559,-0.003045,0.001971,0.020747,-0.012181,,,,,,100,100,False,"(100, 100, 3.0, False)",1.789141,0.7783850000000001,1.702445,0.46202999999999994,0.46202999999999994,0.548726,1.3271110000000002,266117.5781510417,0.7823563599641792,6.481830881820226,100.0
