Type,Units,Time,X Position,Y Position,Y Encoder,Z Position,Z Encoder,Yaw,Pitch,WAFBC Drag,WAFBC Side,WAFBC Lift,WAFBC Roll,WAFBC Pitch,WAFBC Yaw,WAFMC Drag,WAFMC Side,WAFMC Lift,WAFMC Roll,WAFMC Pitch,WAFMC Yaw,BAFMC Axial,BAFMC Side,BAFMC Normal,BAFMC Roll,BAFMC Pitch,BAFMC Yaw,DPT250,DPT251,PT250,TE250,Velocity,Dynamic Pressure,Mach,Reynolds Number per ft,Velocity Setpoint,Temperature Setpoint,cDAQ AI0,cDAQ AI1,cDAQ AI2,cDAQ AI3,cDAQ AI4,cDAQ AI5,cDAQ AI6,cDAQ AI7,cRIO AI0,cRIO AI1,cRIO AI2,cRIO AI3,Drag (raw),Side (raw),Lift (raw),Roll (raw),Pitch (raw),Yaw (raw)
Type,USC / SI,Time,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Degrees / Degrees,Degrees / Degrees,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,PSId / Pascals,PSId / Pascals,PSIa / Pascals,F / F,Ft/s / m/s,PSId / Pascals, / ,1/ft / 1/ft,ft/s / m/s,F / F, / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / 
Sing,USC,250217 10:49:20.273, 0.000000, 0.000000, 0.000000, 0.000000, 0.000591,-0.999997, 0.000000,14.541492,-5.407279, 1.046457, 2.137298,-13.891784,23.599689,14.541492,-5.407279, 1.046457, 2.137298,-13.891784,23.599689,14.444908,-5.660239, 1.046457, 1.894528,-13.926969,23.599689, 0.156926, 0.710382,14.644330,76.987577,299.929981, 0.715004, 0.264104,1789038.331667,300.000000,68.256863,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 1.013326,-0.003040, 0.002204, 0.021344,-0.096260,,,,,
Sing,USC,250217 10:49:43.065, 0.000000, 0.000000, 0.000000, 0.000000, 0.000591, 0.000001, 0.000001,14.495209,-2.013717, 1.105703, 0.594415,-13.016208,10.977767,14.495209,-2.013717, 1.105703, 0.594415,-13.016208,10.977767,14.495209,-2.013717, 1.105703, 0.594415,-13.016207,10.977767, 0.156906, 0.709895,14.643257,77.346648,299.953503, 0.714549, 0.264036,1786839.624167,300.000000,68.256863,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 1.010831,-0.003102, 0.002223, 0.021150,-0.096531,,,,,
Sing,USC,250217 10:50:05.771, 0.000000, 0.000000, 0.000000, 0.000000, 0.000591, 0.999999, 0.000000,14.679130, 1.179853, 1.292342,-0.767802,-12.331955,-0.964085,14.679130, 1.179853, 1.292342,-0.767802,-12.331955,-0.964085,14.656303, 1.435859, 1.292342,-0.552463,-12.343477,-0.964085, 0.156927, 0.709490,14.641740,77.709720,299.967111, 0.714105, 0.263959,1784719.018333,300.000000,68.256863,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 1.012878,-0.003045, 0.002288, 0.020404,-0.098425,,,,,
Sing,USC,250217 10:50:28.568, 0.000000, 0.000000, 0.000000, 0.000000, 0.000591, 2.000000, 0.000000,14.860020, 4.430302, 1.503474,-2.403406,-12.342860,-12.856929,14.860020, 4.430302, 1.503474,-2.403406,-12.342860,-12.856929,14.696352, 4.946210, 1.503474,-1.971182,-12.419219,-12.856929, 0.156922, 0.709314,14.643748,78.059659,300.015108, 0.713962, 0.263915,1783181.747500,300.000000,68.256863,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 1.010766,-0.003046, 0.002251, 0.020448,-0.100906,,,,,
Sing,USC,250217 10:50:51.365, 0.000000, 0.000000, 0.000000, 0.000000, 0.000591, 3.000000, 0.000000,15.066069, 7.363964, 1.738772,-3.885940,-12.524760,-23.586068,15.066069, 7.363964, 1.738772,-3.885940,-12.524760,-23.586068,14.660021, 8.142369, 1.738772,-3.225119,-12.710969,-23.586068, 0.156925, 0.709063,14.644957,78.377120,300.034330, 0.713703, 0.263854,1781610.912500,300.000000,68.256863,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 1.012863,-0.003066, 0.002142, 0.018876,-0.103439,,,,,
Sing,USC,250217 10:51:14.065, 0.000000, 0.000000, 0.000000, 0.000000, 0.000591, 4.000001, 0.000000,15.189377, 9.441257, 1.918464,-4.963878,-12.747696,-31.237520,15.189377, 9.441257, 1.918464,-4.963878,-12.747696,-31.237520,14.493787,10.477816, 1.918464,-4.062551,-13.062906,-31.237520, 0.156931, 0.708715,14.642761,78.651907,300.075562, 0.713380, 0.263823,1779861.765000,300.000000,68.256863,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 1.014946,-0.003098, 0.001990, 0.020401,-0.105089,,,,,
Sing,USC,250217 10:51:36.867, 0.000000, 0.000000, 0.000000, 0.000000, 0.000591, 5.000000, 0.000000,15.364925,12.164922, 2.211245,-6.333617,-13.386266,-41.432498,15.364925,12.164922, 2.211245,-6.333617,-13.386266,-41.432498,14.246214,13.457772, 2.211245,-5.142826,-13.887339,-41.432498, 0.156928, 0.708349,14.643311,78.900593,300.040145, 0.712935, 0.263731,1778328.668333,300.000000,68.256863,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 1.015887,-0.003109, 0.002116, 0.019568,-0.107347,,,,,
Sing,USC,250217 10:51:59.666, 0.000000, 0.000000, 0.000000, 0.000000, 0.000630, 5.999999, 0.000000,15.700202,15.490104, 2.582541,-7.911190,-13.729486,-54.215604,15.700202,15.490104, 2.582541,-7.911190,-13.729486,-54.215604,13.995038,17.046366, 2.582541,-6.432729,-14.481219,-54.215604, 0.156926, 0.708173,14.641548,79.116222,300.073202, 0.712764, 0.263707,1777159.255000,300.000000,68.256863,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 1.010543,-0.003097, 0.002182, 0.019587,-0.110922,,,,,
