Type,Units,Time,X Position,Y Position,Y Encoder,Z Position,Z Encoder,Yaw,Pitch,WAFBC Drag,WAFBC Side,WAFBC Lift,WAFBC Roll,WAFBC Pitch,WAFBC Yaw,WAFMC Drag,WAFMC Side,WAFMC Lift,WAFMC Roll,WAFMC Pitch,WAFMC Yaw,BAFMC Axial,BAFMC Side,BAFMC Normal,BAFMC Roll,BAFMC Pitch,BAFMC Yaw,DPT250,DPT251,PT250,TE250,Velocity,Dynamic Pressure,Mach,Reynolds Number per ft,Velocity Setpoint,Temperature Setpoint,cDAQ AI0,cDAQ AI1,cDAQ AI2,cDAQ AI3,cDAQ AI4,cDAQ AI5,cDAQ AI6,cDAQ AI7,cRIO AI0,cRIO AI1,cRIO AI2,cRIO AI3,Drag (raw),Side (raw),Lift (raw),Roll (raw),Pitch (raw),Yaw (raw)
Type,USC / SI,Time,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Degrees / Degrees,Degrees / Degrees,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,PSId / Pascals,PSId / Pascals,PSIa / Pascals,F / F,Ft/s / m/s,PSId / Pascals, / ,1/ft / 1/ft,ft/s / m/s,F / F, / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / 
Sing,USC,250217 10:15:25.279, 0.000000, 0.000000, 0.000000, 0.000000, 0.000354,-0.999997, 0.000000,10.094845,-4.573367, 1.006136, 1.663578,-12.822959,20.198818,10.094845,-4.573367, 1.006136, 1.663578,-12.822959,20.198818,10.013492,-4.748849, 1.006136, 1.439534,-12.850040,20.198818, 0.156925, 0.720176,14.636674,69.361798,299.912503, 0.724863, 0.265985,1833954.336667,300.000000,68.256863,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 1.018256,-0.002985, 0.002050, 0.020831,-0.066709,,,,,
Sing,USC,250217 10:15:46.979, 0.000000, 0.000000, 0.000000, 0.000000, 0.000354, 0.000001, 0.000000,10.102251,-1.146023, 1.114727, 0.209939,-11.526067, 7.486404,10.102251,-1.146023, 1.114727, 0.209939,-11.526067, 7.486404,10.102251,-1.146022, 1.114727, 0.209939,-11.526067, 7.486404, 0.156911, 0.719623,14.637863,69.733678,299.890133, 0.724303, 0.265871,1831679.785000,300.000000,68.256863,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 1.013957,-0.002999, 0.002038, 0.019721,-0.067359,,,,,
Sing,USC,250217 10:16:08.678, 0.000000, 0.000000, 0.000000, 0.000000, 0.000354, 1.000000, 0.000000,10.187562, 2.106289, 1.281059,-1.143238,-11.156984,-4.407702,10.187562, 2.106289, 1.281059,-1.143238,-11.156984,-4.407702,10.149251, 2.283766, 1.281059,-0.948348,-11.175237,-4.407702, 0.156926, 0.719694,14.639449,70.011671,299.973457, 0.724398, 0.265875,1830667.503333,300.000000,68.256863,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 1.015518,-0.002990, 0.002149, 0.021570,-0.068832,,,,,
Sing,USC,250217 10:16:30.378, 0.000000, 0.000000, 0.000000, 0.000000, 0.000354, 1.999999, 0.000000,10.288688, 5.456027, 1.540319,-2.743773,-11.398261,-16.564684,10.288688, 5.456027, 1.540319,-2.743773,-11.398261,-16.564684,10.092008, 5.811773, 1.540319,-2.344308,-11.487073,-16.564684, 0.156926, 0.719798,14.635987,70.042983,300.038269, 0.724513, 0.265925,1830479.217500,300.000000,68.256863,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 1.013110,-0.003004, 0.002106, 0.021425,-0.070823,,,,,
Sing,USC,250217 10:16:52.078, 0.000000, 0.000000, 0.000000, 0.000000, 0.000354, 3.000000, 0.000000,10.477484, 8.438663, 1.762887,-4.204643,-11.688210,-27.344093,10.477484, 8.438663, 1.762887,-4.204643,-11.688210,-27.344093,10.021479, 8.975447, 1.762887,-3.587167,-11.892246,-27.344093, 0.156924, 0.720071,14.636438,69.910778,300.043701, 0.724713, 0.265963,1831303.532500,300.000000,68.256863,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 1.013801,-0.002995, 0.002034, 0.022088,-0.073272,,,,,
Sing,USC,250217 10:17:13.781, 0.000000, 0.000000, 0.000000, 0.000000, 0.000354, 4.000000, 0.000000,10.647435,11.021780, 2.041068,-5.472177,-12.382325,-36.839396,10.647435,11.021780, 2.041068,-5.472177,-12.382325,-36.839396, 9.852658,11.737659, 2.041068,-4.595099,-12.733883,-36.839396, 0.156930, 0.720132,14.634568,69.816362,300.048760, 0.724819, 0.265991,1831794.960833,300.000000,68.256863,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 1.016243,-0.003029, 0.002205, 0.022358,-0.075420,,,,,
Sing,USC,250217 10:17:35.480, 0.000000, 0.000000, 0.000000, 0.000000, 0.000354, 5.000000, 0.000000,10.827147,13.307028, 2.271971,-6.548342,-12.771969,-45.405747,10.827147,13.307028, 2.271971,-6.548342,-12.771969,-45.405747, 9.626162,14.200039, 2.271971,-5.410273,-13.294093,-45.405747, 0.156926, 0.719989,14.638144,69.853483,299.975813, 0.724547, 0.265917,1831452.551667,300.000000,68.256863,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 1.014617,-0.003101, 0.002119, 0.022228,-0.077534,,,,,
Sing,USC,250217 10:17:57.184, 0.000000, 0.000000, 0.000000, 0.000000, 0.000354, 5.999999, 0.000000,11.097383,16.163028, 2.572642,-7.815450,-12.917784,-56.182687,11.097383,16.163028, 2.572642,-7.815450,-12.917784,-56.182687, 9.347094,17.234478, 2.572642,-6.422360,-13.663956,-56.182687, 0.156929, 0.720332,14.639139,69.909537,300.084867, 0.725060, 0.266000,1831933.290833,300.000000,68.256863,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 1.015513,-0.003037, 0.002219, 0.022113,-0.080492,,,,,
