Type,Units,Time,X Position,Y Position,Y Encoder,Z Position,Z Encoder,Yaw,Pitch,WAFBC Drag,WAFBC Side,WAFBC Lift,WAFBC Roll,WAFBC Pitch,WAFBC Yaw,WAFMC Drag,WAFMC Side,WAFMC Lift,WAFMC Roll,WAFMC Pitch,WAFMC Yaw,BAFMC Axial,BAFMC Side,BAFMC Normal,BAFMC Roll,BAFMC Pitch,BAFMC Yaw,DPT250,DPT251,PT250,TE250,Velocity,Dynamic Pressure,Mach,Reynolds Number per ft,Velocity Setpoint,Temperature Setpoint,cDAQ AI0,cDAQ AI1,cDAQ AI2,cDAQ AI3,cDAQ AI4,cDAQ AI5,cDAQ AI6,cDAQ AI7,cRIO AI0,cRIO AI1,cRIO AI2,cRIO AI3,Drag (raw),Side (raw),Lift (raw),Roll (raw),Pitch (raw),Yaw (raw)
Type,USC / SI,Time,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Degrees / Degrees,Degrees / Degrees,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,PSId / Pascals,PSId / Pascals,PSIa / Pascals,F / F,Ft/s / m/s,PSId / Pascals, / ,1/ft / 1/ft,ft/s / m/s,F / F, / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / 
Sing,USC,250217 10:54:36.769, 0.000000, 0.000000, 0.000000, 0.000000, 0.000630,-0.999997, 0.000000, 7.117021,-5.767337, 0.717742, 2.795093,-9.816077,24.151357, 7.117021,-5.767337, 0.717742, 2.795093,-9.816077,24.151357, 7.015284,-5.890668, 0.717742, 2.623353,-9.863363,24.151357, 0.156927, 0.493132,14.670560,78.919412,250.114558, 0.496330, 0.219843,1485120.247500,250.000000,68.256863,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 1.013677,-0.003153, 0.002272, 0.020519,-0.046628,,,,,
Sing,USC,250217 10:54:59.664, 0.000000, 0.000000, 0.000000, 0.000000, 0.000630, 0.000001, 0.000000, 7.045679,-3.207396, 0.643630, 1.398030,-8.676459,14.411871, 7.045679,-3.207396, 0.643630, 1.398030,-8.676459,14.411871, 7.045679,-3.207396, 0.643630, 1.398031,-8.676459,14.411871, 0.156915, 0.492679,14.671623,78.872621,249.984175, 0.495899, 0.219738,1484703.222500,250.000000,68.256863,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 1.014665,-0.003123, 0.002182, 0.020424,-0.046573,,,,,
Sing,USC,250217 10:55:22.565, 0.000000, 0.000000, 0.000000, 0.000000, 0.000646, 0.999999, 0.000000, 7.063880,-0.793581, 0.700566, 0.119857,-7.830030, 5.446864, 7.063880,-0.793581, 0.700566, 0.119857,-7.830030, 5.446864, 7.076654,-0.670178, 0.700566, 0.256491,-7.826746, 5.446864, 0.156920, 0.492612,14.671911,78.895510,249.955887, 0.495790, 0.219709,1484495.700000,250.000000,68.256863,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 1.010249,-0.003096, 0.002275, 0.019663,-0.047097,,,,,
Sing,USC,250217 10:55:45.464, 0.000000, 0.000000, 0.000000, 0.000000, 0.000669, 2.000000, 0.000000, 7.122420, 1.535433, 0.846210,-1.129535,-7.647215,-3.028372, 7.122420, 1.535433, 0.846210,-1.129535,-7.647215,-3.028372, 7.064496, 1.783066, 0.846210,-0.861962,-7.681976,-3.028372, 0.156929, 0.492738,14.673327,78.878247,249.984150, 0.495966, 0.219737,1484890.917500,250.000000,68.256863,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 1.015278,-0.003089, 0.002268, 0.021406,-0.048128,,,,,
Sing,USC,250217 10:56:08.363, 0.000000, 0.000000, 0.000000, 0.000000, 0.000669, 3.000000, 0.000000, 7.193081, 3.963035, 1.041421,-2.592077,-7.816514,-11.904930, 7.193081, 3.963035, 1.041421,-2.592077,-7.816514,-11.904930, 6.975813, 4.334060, 1.041421,-2.179440,-7.941460,-11.904930, 0.156932, 0.492897,14.671338,78.789877,250.024290, 0.496124, 0.219790,1485312.511667,250.000000,68.256863,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 1.012677,-0.003059, 0.002304, 0.021353,-0.049559,,,,,
Sing,USC,250217 10:56:31.165, 0.000000, 0.000000, 0.000000, 0.000000, 0.000669, 4.000000, 0.000000, 7.331471, 6.492370, 1.275202,-4.053020,-8.068746,-21.209788, 7.331471, 6.492370, 1.275202,-4.053020,-8.068746,-21.209788, 6.860727, 6.987973, 1.275202,-3.480299,-8.331816,-21.209788, 0.156932, 0.493031,14.671824,78.651540,250.024550, 0.496262, 0.219819,1486018.137500,250.000000,68.256863,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 1.013761,-0.003130, 0.002138, 0.019961,-0.051479,,,,,
Sing,USC,250217 10:56:53.968, 0.000000, 0.000000, 0.000000, 0.000000, 0.000669, 5.000000, 0.000000, 7.583687, 9.044463, 1.561138,-5.534375,-8.663199,-30.744344, 7.583687, 9.044463, 1.561138,-5.534375,-8.663199,-30.744344, 6.766552, 9.671008, 1.561138,-4.758268,-9.112586,-30.744344, 0.156927, 0.493338,14.672520,78.504968,250.054005, 0.496547, 0.219874,1487007.892500,250.000000,68.256863,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 1.015279,-0.003076, 0.002119, 0.019499,-0.054169,,,,,
Sing,USC,250217 10:57:16.766, 0.000000, 0.000000, 0.000000, 0.000000, 0.000669, 5.999999, 0.000000, 7.840693,11.788846, 1.882275,-7.038362,-9.608413,-41.070249, 7.840693,11.788846, 1.882275,-7.038362,-9.608413,-41.070249, 6.565471,12.543841, 1.882275,-5.995453,-10.291486,-41.070249, 0.156928, 0.493425,14.668417,78.342210,250.073255, 0.496650, 0.219925,1487548.172500,250.000000,68.256863,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 1.014647,-0.003093, 0.002312, 0.021337,-0.056987,,,,,
