Mach number (​),Reynolds number (​),Thrust (N),Fd,Cd,Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​)
0.045,2.175E+06,0,0.921,0.587,0.594,0.323,0.144,0.12
0.043,2.105E+06,0,0.864,0.587,0.595,0.323,0.144,0.12
0.042,2.034E+06,0,0.809,0.586,0.596,0.323,0.144,0.12
0.041,1.965E+06,0,0.76,0.588,0.6,0.324,0.144,0.12
0.039,1.895E+06,0,0.712,0.59,0.605,0.326,0.144,0.12
0.038,1.825E+06,0,0.666,0.593,0.61,0.329,0.144,0.12
0.036,1.756E+06,0,0.622,0.595,0.615,0.331,0.144,0.12
0.035,1.686E+06,0,0.58,0.598,0.622,0.334,0.144,0.12
0.033,1.617E+06,0,0.538,0.6,0.628,0.336,0.144,0.12
0.032,1.548E+06,0,0.5,0.603,0.637,0.339,0.144,0.12
0.031,1.48E+06,0,0.465,0.606,0.648,0.342,0.144,0.12
0.029,1.412E+06,0,0.431,0.609,0.659,0.345,0.144,0.12
0.028,1.344E+06,0,0.398,0.612,0.672,0.348,0.144,0.12
0.026,1.276E+06,0,0.367,0.616,0.687,0.352,0.144,0.12
0.025,1.21E+06,0,0.338,0.619,0.705,0.356,0.144,0.12
0.024,1.143E+06,0,0.311,0.623,0.726,0.36,0.144,0.12
0.022,1.077E+06,0,0.285,0.628,0.748,0.364,0.144,0.12
0.021,1.013E+06,0,0.261,0.632,0.775,0.368,0.144,0.12
0.02,9.483E+05,0,0.236,0.637,0.801,0.373,0.144,0.12
0.018,8.855E+05,0,0.212,0.642,0.825,0.378,0.144,0.12
0.017,8.225E+05,0,0.187,0.648,0.842,0.384,0.144,0.12
0.016,7.629E+05,0,0.161,0.654,0.845,0.39,0.144,0.12
0.015,7.052E+05,0,0.136,0.66,0.835,0.396,0.144,0.12
0.013,6.492E+05,0,0.112,0.667,0.807,0.403,0.144,0.12
0.012,5.967E+05,0,0.088,0.674,0.754,0.41,0.144,0.12
0.011,5.498E+05,0,0.066,0.681,0.668,0.417,0.144,0.12
0.011,5.078E+05,0,0.046,0.688,0.549,0.424,0.144,0.12
0.01,4.734E+05,0,0.03,0.694,0.404,0.431,0.144,0.12
0.009,4.468E+05,0,0.016,0.7,0.251,0.436,0.144,0.12
0.009,4.282E+05,0,0.007,0.704,0.121,0.44,0.144,0.12
,,,,,,,,
0.009,4.23E+05,0,0.002,0.705,0.037,0.441,0.144,0.12
,,,,,,,,
0.009,4.272E+05,0,2.177E-04,0.704,0.004,0.44,0.144,0.12
0.009,4.284E+05,0,1.609,NaN,NaN,NaN,NaN,NaN
0.009,8.927E+05,0,1.619,NaN,NaN,NaN,NaN,NaN
0.019,1.521E+06,0,7.052,NaN,NaN,NaN,NaN,NaN
0.031,2.083E+06,0,20.42,NaN,NaN,NaN,NaN,NaN
0.043,2.43E+06,0,38.245,NaN,NaN,NaN,NaN,NaN
0.05,2.71E+06,0,52.031,NaN,NaN,NaN,NaN,NaN
0.056,2.952E+06,0,64.707,NaN,NaN,NaN,NaN,NaN
0.061,3.166E+06,0,76.751,NaN,NaN,NaN,NaN,NaN
0.065,3.356E+06,0,88.26,NaN,NaN,NaN,NaN,NaN
0.069,3.521E+06,0,99.151,NaN,NaN,NaN,NaN,NaN
0.073,3.633E+06,0,109.127,NaN,NaN,NaN,NaN,NaN
0.075,3.706E+06,0,116.064,NaN,NaN,NaN,NaN,NaN
0.076,3.754E+06,0,120.726,NaN,NaN,NaN,NaN,NaN
0.077,3.786E+06,0,123.785,NaN,NaN,NaN,NaN,NaN
0.078,3.806E+06,0,125.761,NaN,NaN,NaN,NaN,NaN
0.078,3.82E+06,0,127.026,NaN,NaN,NaN,NaN,NaN
0.078,3.829E+06,0,127.831,NaN,NaN,NaN,NaN,NaN
0.078,3.835E+06,0,128.345,NaN,NaN,NaN,NaN,NaN
0.078,3.84E+06,0,128.669,NaN,NaN,NaN,NaN,NaN
0.078,3.843E+06,0,128.874,NaN,NaN,NaN,NaN,NaN
0.078,3.846E+06,0,128.998,NaN,NaN,NaN,NaN,NaN
0.078,3.848E+06,0,129.08,NaN,NaN,NaN,NaN,NaN
0.078,3.85E+06,0,129.129,NaN,NaN,NaN,NaN,NaN
0.078,3.852E+06,0,129.16,NaN,NaN,NaN,NaN,NaN
0.078,3.854E+06,0,129.179,NaN,NaN,NaN,NaN,NaN
0.078,3.856E+06,0,129.192,NaN,NaN,NaN,NaN,NaN
0.078,3.857E+06,0,129.198,NaN,NaN,NaN,NaN,NaN
0.078,3.859E+06,0,129.202,NaN,NaN,NaN,NaN,NaN
0.078,3.86E+06,0,129.204,NaN,NaN,NaN,NaN,NaN
0.078,3.862E+06,0,129.206,NaN,NaN,NaN,NaN,NaN
0.078,3.863E+06,0,129.217,NaN,NaN,NaN,NaN,NaN
0.078,3.865E+06,0,129.223,NaN,NaN,NaN,NaN,NaN
0.078,3.867E+06,0,129.226,NaN,NaN,NaN,NaN,NaN
0.077,3.868E+06,0,129.228,NaN,NaN,NaN,NaN,NaN
0.077,3.87E+06,0,129.229,NaN,NaN,NaN,NaN,NaN
0.077,3.872E+06,0,129.229,NaN,NaN,NaN,NaN,NaN
0.077,3.873E+06,0,129.229,NaN,NaN,NaN,NaN,NaN
0.077,3.875E+06,0,129.228,NaN,NaN,NaN,NaN,NaN
0.077,3.877E+06,0,129.228,NaN,NaN,NaN,NaN,NaN
0.077,3.878E+06,0,129.227,NaN,NaN,NaN,NaN,NaN
0.077,3.88E+06,0,129.226,NaN,NaN,NaN,NaN,NaN
0.077,3.881E+06,0,129.225,NaN,NaN,NaN,NaN,NaN
0.077,3.883E+06,0,129.224,NaN,NaN,NaN,NaN,NaN
0.077,3.884E+06,0,129.223,NaN,NaN,NaN,NaN,NaN
0.077,3.886E+06,0,129.223,NaN,NaN,NaN,NaN,NaN
0.077,3.888E+06,0,129.222,NaN,NaN,NaN,NaN,NaN
0.077,3.889E+06,0,129.221,NaN,NaN,NaN,NaN,NaN
0.077,3.891E+06,0,129.22,NaN,NaN,NaN,NaN,NaN
0.077,3.892E+06,0,129.219,NaN,NaN,NaN,NaN,NaN
0.077,3.894E+06,0,129.218,NaN,NaN,NaN,NaN,NaN
0.076,3.895E+06,0,129.218,NaN,NaN,NaN,NaN,NaN
0.076,3.897E+06,0,129.217,NaN,NaN,NaN,NaN,NaN
0.076,3.898E+06,0,129.216,NaN,NaN,NaN,NaN,NaN
0.076,3.9E+06,0,129.215,NaN,NaN,NaN,NaN,NaN
0.076,3.901E+06,0,129.214,NaN,NaN,NaN,NaN,NaN
0.076,3.903E+06,0,129.214,NaN,NaN,NaN,NaN,NaN
0.076,3.905E+06,0,129.213,NaN,NaN,NaN,NaN,NaN
0.076,3.906E+06,0,129.212,NaN,NaN,NaN,NaN,NaN
0.076,3.908E+06,0,129.211,NaN,NaN,NaN,NaN,NaN
0.076,3.909E+06,0,129.21,NaN,NaN,NaN,NaN,NaN
0.076,3.911E+06,0,129.21,NaN,NaN,NaN,NaN,NaN
0.076,3.912E+06,0,129.209,NaN,NaN,NaN,NaN,NaN
0.076,3.913E+06,0,129.208,NaN,NaN,NaN,NaN,NaN
0.076,3.915E+06,0,129.207,NaN,NaN,NaN,NaN,NaN
0.076,3.916E+06,0,129.207,NaN,NaN,NaN,NaN,NaN
0.076,3.918E+06,0,129.206,NaN,NaN,NaN,NaN,NaN
0.076,3.919E+06,0,129.205,NaN,NaN,NaN,NaN,NaN
0.075,3.921E+06,0,129.204,NaN,NaN,NaN,NaN,NaN
0.075,3.922E+06,0,129.204,NaN,NaN,NaN,NaN,NaN
0.075,3.924E+06,0,129.213,NaN,NaN,NaN,NaN,NaN
0.075,3.926E+06,0,129.218,NaN,NaN,NaN,NaN,NaN
0.075,3.927E+06,0,129.221,NaN,NaN,NaN,NaN,NaN
0.075,3.929E+06,0,129.222,NaN,NaN,NaN,NaN,NaN
0.075,3.93E+06,0,129.223,NaN,NaN,NaN,NaN,NaN
0.075,3.932E+06,0,129.223,NaN,NaN,NaN,NaN,NaN
0.075,3.934E+06,0,129.223,NaN,NaN,NaN,NaN,NaN
0.075,3.935E+06,0,129.222,NaN,NaN,NaN,NaN,NaN
0.075,3.937E+06,0,129.222,NaN,NaN,NaN,NaN,NaN
0.075,3.938E+06,0,129.221,NaN,NaN,NaN,NaN,NaN
0.075,3.94E+06,0,129.22,NaN,NaN,NaN,NaN,NaN
0.075,3.941E+06,0,129.22,NaN,NaN,NaN,NaN,NaN
0.075,3.943E+06,0,129.219,NaN,NaN,NaN,NaN,NaN
0.075,3.945E+06,0,129.218,NaN,NaN,NaN,NaN,NaN
0.075,3.946E+06,0,129.217,NaN,NaN,NaN,NaN,NaN
0.074,3.948E+06,0,129.216,NaN,NaN,NaN,NaN,NaN
0.074,3.949E+06,0,129.216,NaN,NaN,NaN,NaN,NaN
0.074,3.951E+06,0,129.215,NaN,NaN,NaN,NaN,NaN
0.074,3.952E+06,0,129.214,NaN,NaN,NaN,NaN,NaN
0.074,3.954E+06,0,129.214,NaN,NaN,NaN,NaN,NaN
0.074,3.955E+06,0,129.213,NaN,NaN,NaN,NaN,NaN
0.074,3.957E+06,0,129.212,NaN,NaN,NaN,NaN,NaN
0.074,3.958E+06,0,129.211,NaN,NaN,NaN,NaN,NaN
0.074,3.96E+06,0,129.211,NaN,NaN,NaN,NaN,NaN
0.074,3.961E+06,0,129.21,NaN,NaN,NaN,NaN,NaN
0.074,3.963E+06,0,129.209,NaN,NaN,NaN,NaN,NaN
0.074,3.964E+06,0,129.209,NaN,NaN,NaN,NaN,NaN
0.074,3.966E+06,0,129.208,NaN,NaN,NaN,NaN,NaN
0.074,3.967E+06,0,129.207,NaN,NaN,NaN,NaN,NaN
0.074,3.969E+06,0,129.207,NaN,NaN,NaN,NaN,NaN
0.074,3.97E+06,0,129.206,NaN,NaN,NaN,NaN,NaN
0.074,3.972E+06,0,129.206,NaN,NaN,NaN,NaN,NaN
0.074,3.973E+06,0,129.205,NaN,NaN,NaN,NaN,NaN
0.073,3.974E+06,0,129.204,NaN,NaN,NaN,NaN,NaN
0.073,3.976E+06,0,129.203,NaN,NaN,NaN,NaN,NaN
0.073,3.977E+06,0,129.203,NaN,NaN,NaN,NaN,NaN
0.073,3.979E+06,0,129.202,NaN,NaN,NaN,NaN,NaN
0.073,3.98E+06,0,129.201,NaN,NaN,NaN,NaN,NaN
0.073,3.982E+06,0,129.201,NaN,NaN,NaN,NaN,NaN
0.073,3.983E+06,0,129.202,NaN,NaN,NaN,NaN,NaN
0.073,3.985E+06,0,129.21,NaN,NaN,NaN,NaN,NaN
0.073,3.986E+06,0,129.214,NaN,NaN,NaN,NaN,NaN
0.073,3.988E+06,0,129.217,NaN,NaN,NaN,NaN,NaN
0.073,3.99E+06,0,129.218,NaN,NaN,NaN,NaN,NaN
0.073,3.991E+06,0,129.219,NaN,NaN,NaN,NaN,NaN
0.073,3.993E+06,0,129.219,NaN,NaN,NaN,NaN,NaN
0.073,3.994E+06,0,129.218,NaN,NaN,NaN,NaN,NaN
0.073,3.996E+06,0,129.218,NaN,NaN,NaN,NaN,NaN
,,,,,,,,
0.073,3.997E+06,0,129.217,NaN,NaN,NaN,NaN,NaN
0.073,3.92E+06,0,3728.546,NaN,NaN,NaN,NaN,NaN
0.071,3.877E+06,0,3578.55,NaN,NaN,NaN,NaN,NaN
0.07,3.836E+06,0,3501.046,NaN,NaN,NaN,NaN,NaN
0.07,3.795E+06,0,3426.103,NaN,NaN,NaN,NaN,NaN
0.069,3.755E+06,0,3353.609,NaN,NaN,NaN,NaN,NaN
0.068,3.716E+06,0,3283.459,NaN,NaN,NaN,NaN,NaN
0.067,3.678E+06,0,3215.552,NaN,NaN,NaN,NaN,NaN
0.067,3.64E+06,0,3149.794,NaN,NaN,NaN,NaN,NaN
0.066,3.604E+06,0,3086.095,NaN,NaN,NaN,NaN,NaN
0.065,3.568E+06,0,3024.369,NaN,NaN,NaN,NaN,NaN
0.065,3.533E+06,0,2964.535,NaN,NaN,NaN,NaN,NaN
0.064,3.498E+06,0,2906.517,NaN,NaN,NaN,NaN,NaN
0.063,3.465E+06,0,2850.242,NaN,NaN,NaN,NaN,NaN
0.063,3.432E+06,0,2795.641,NaN,NaN,NaN,NaN,NaN
0.062,3.399E+06,0,2742.647,NaN,NaN,NaN,NaN,NaN
0.062,3.368E+06,0,2691.198,NaN,NaN,NaN,NaN,NaN
0.061,3.337E+06,0,2641.235,NaN,NaN,NaN,NaN,NaN
0.061,3.306E+06,0,2592.701,NaN,NaN,NaN,NaN,NaN
0.06,3.276E+06,0,2545.541,NaN,NaN,NaN,NaN,NaN
0.059,3.247E+06,0,2499.704,NaN,NaN,NaN,NaN,NaN
0.059,3.218E+06,0,2455.142,NaN,NaN,NaN,NaN,NaN
0.058,3.19E+06,0,2411.806,NaN,NaN,NaN,NaN,NaN
0.058,3.162E+06,0,2369.653,NaN,NaN,NaN,NaN,NaN
0.057,3.135E+06,0,2328.64,NaN,NaN,NaN,NaN,NaN
0.057,3.108E+06,0,2288.725,NaN,NaN,NaN,NaN,NaN
0.056,3.082E+06,0,2249.87,NaN,NaN,NaN,NaN,NaN
0.056,3.056E+06,0,2212.038,NaN,NaN,NaN,NaN,NaN
0.055,3.031E+06,0,2175.193,NaN,NaN,NaN,NaN,NaN
0.055,3.006E+06,0,2139.301,NaN,NaN,NaN,NaN,NaN
0.055,2.982E+06,0,2104.33,NaN,NaN,NaN,NaN,NaN
0.054,2.958E+06,0,2070.247,NaN,NaN,NaN,NaN,NaN
0.054,2.934E+06,0,2037.023,NaN,NaN,NaN,NaN,NaN
0.053,2.911E+06,0,2004.63,NaN,NaN,NaN,NaN,NaN
0.053,2.888E+06,0,1973.04,NaN,NaN,NaN,NaN,NaN
0.052,2.865E+06,0,1942.226,NaN,NaN,NaN,NaN,NaN
0.052,2.843E+06,0,1912.163,NaN,NaN,NaN,NaN,NaN
0.052,2.822E+06,0,1882.828,NaN,NaN,NaN,NaN,NaN
0.051,2.8E+06,0,1854.196,NaN,NaN,NaN,NaN,NaN
0.051,2.779E+06,0,1826.246,NaN,NaN,NaN,NaN,NaN
0.05,2.759E+06,0,1798.955,NaN,NaN,NaN,NaN,NaN
0.05,2.738E+06,0,1772.304,NaN,NaN,NaN,NaN,NaN
0.05,2.718E+06,0,1746.272,NaN,NaN,NaN,NaN,NaN
0.049,2.699E+06,0,1720.841,NaN,NaN,NaN,NaN,NaN
0.049,2.679E+06,0,1695.992,NaN,NaN,NaN,NaN,NaN
0.049,2.66E+06,0,1671.707,NaN,NaN,NaN,NaN,NaN
0.048,2.641E+06,0,1647.969,NaN,NaN,NaN,NaN,NaN
0.048,2.623E+06,0,1624.762,NaN,NaN,NaN,NaN,NaN
0.048,2.605E+06,0,1602.071,NaN,NaN,NaN,NaN,NaN
0.047,2.587E+06,0,1579.88,NaN,NaN,NaN,NaN,NaN
0.047,2.569E+06,0,1558.174,NaN,NaN,NaN,NaN,NaN
0.047,2.552E+06,0,1536.94,NaN,NaN,NaN,NaN,NaN
0.046,2.534E+06,0,1516.164,NaN,NaN,NaN,NaN,NaN
0.046,2.517E+06,0,1495.832,NaN,NaN,NaN,NaN,NaN
0.046,2.501E+06,0,1475.933,NaN,NaN,NaN,NaN,NaN
0.045,2.484E+06,0,1456.454,NaN,NaN,NaN,NaN,NaN
0.045,2.468E+06,0,1437.383,NaN,NaN,NaN,NaN,NaN
0.045,2.452E+06,0,1418.708,NaN,NaN,NaN,NaN,NaN
0.044,2.437E+06,0,1400.42,NaN,NaN,NaN,NaN,NaN
0.044,2.421E+06,0,1382.508,NaN,NaN,NaN,NaN,NaN
0.044,2.406E+06,0,1364.96,NaN,NaN,NaN,NaN,NaN
0.044,2.391E+06,0,1347.768,NaN,NaN,NaN,NaN,NaN
0.043,2.376E+06,0,1330.922,NaN,NaN,NaN,NaN,NaN
0.043,2.361E+06,0,1314.412,NaN,NaN,NaN,NaN,NaN
0.043,2.347E+06,0,1298.23,NaN,NaN,NaN,NaN,NaN
0.043,2.332E+06,0,1282.367,NaN,NaN,NaN,NaN,NaN
0.042,2.318E+06,0,1266.814,NaN,NaN,NaN,NaN,NaN
0.042,2.304E+06,0,1251.564,NaN,NaN,NaN,NaN,NaN
0.042,2.291E+06,0,1236.61,NaN,NaN,NaN,NaN,NaN
0.042,2.277E+06,0,1221.942,NaN,NaN,NaN,NaN,NaN
0.041,2.264E+06,0,1207.554,NaN,NaN,NaN,NaN,NaN
0.041,2.251E+06,0,1193.44,NaN,NaN,NaN,NaN,NaN
0.041,2.238E+06,0,1179.591,NaN,NaN,NaN,NaN,NaN
0.041,2.225E+06,0,1166.002,NaN,NaN,NaN,NaN,NaN
0.04,2.212E+06,0,1152.665,NaN,NaN,NaN,NaN,NaN
0.04,2.2E+06,0,1139.576,NaN,NaN,NaN,NaN,NaN
0.04,2.187E+06,0,1126.675,NaN,NaN,NaN,NaN,NaN
0.04,2.174E+06,0,1113.775,NaN,NaN,NaN,NaN,NaN
0.039,2.161E+06,0,1100.877,NaN,NaN,NaN,NaN,NaN
0.039,2.149E+06,0,1087.983,NaN,NaN,NaN,NaN,NaN
0.039,2.136E+06,0,1075.091,NaN,NaN,NaN,NaN,NaN
0.039,2.123E+06,0,1062.203,NaN,NaN,NaN,NaN,NaN
0.039,2.11E+06,0,1049.318,NaN,NaN,NaN,NaN,NaN
0.038,2.097E+06,0,1036.437,NaN,NaN,NaN,NaN,NaN
0.038,2.083E+06,0,1023.559,NaN,NaN,NaN,NaN,NaN
0.038,2.07E+06,0,1010.684,NaN,NaN,NaN,NaN,NaN
0.038,2.057E+06,0,997.813,NaN,NaN,NaN,NaN,NaN
0.037,2.043E+06,0,984.946,NaN,NaN,NaN,NaN,NaN
0.037,2.03E+06,0,972.083,NaN,NaN,NaN,NaN,NaN
0.037,2.016E+06,0,959.223,NaN,NaN,NaN,NaN,NaN
0.037,2.002E+06,0,946.368,NaN,NaN,NaN,NaN,NaN
0.036,1.988E+06,0,933.517,NaN,NaN,NaN,NaN,NaN
0.036,1.974E+06,0,920.67,NaN,NaN,NaN,NaN,NaN
0.036,1.96E+06,0,907.827,NaN,NaN,NaN,NaN,NaN
0.036,1.946E+06,0,894.989,NaN,NaN,NaN,NaN,NaN
0.035,1.932E+06,0,882.156,NaN,NaN,NaN,NaN,NaN
0.035,1.918E+06,0,869.327,NaN,NaN,NaN,NaN,NaN
0.035,1.903E+06,0,856.504,NaN,NaN,NaN,NaN,NaN
0.035,1.889E+06,0,843.685,NaN,NaN,NaN,NaN,NaN
0.034,1.874E+06,0,830.872,NaN,NaN,NaN,NaN,NaN
0.034,1.86E+06,0,818.065,NaN,NaN,NaN,NaN,NaN
0.034,1.845E+06,0,805.263,NaN,NaN,NaN,NaN,NaN
0.033,1.83E+06,0,792.467,NaN,NaN,NaN,NaN,NaN
0.033,1.815E+06,0,779.677,NaN,NaN,NaN,NaN,NaN
0.033,1.8E+06,0,766.893,NaN,NaN,NaN,NaN,NaN
0.033,1.784E+06,0,754.116,NaN,NaN,NaN,NaN,NaN
0.032,1.769E+06,0,741.345,NaN,NaN,NaN,NaN,NaN
0.032,1.753E+06,0,728.582,NaN,NaN,NaN,NaN,NaN
0.032,1.738E+06,0,715.826,NaN,NaN,NaN,NaN,NaN
0.032,1.722E+06,0,703.077,NaN,NaN,NaN,NaN,NaN
0.031,1.706E+06,0,690.336,NaN,NaN,NaN,NaN,NaN
0.031,1.69E+06,0,677.604,NaN,NaN,NaN,NaN,NaN
0.031,1.674E+06,0,664.879,NaN,NaN,NaN,NaN,NaN
0.03,1.657E+06,0,652.164,NaN,NaN,NaN,NaN,NaN
0.03,1.641E+06,0,639.458,NaN,NaN,NaN,NaN,NaN
0.03,1.624E+06,0,626.761,NaN,NaN,NaN,NaN,NaN
0.029,1.607E+06,0,614.075,NaN,NaN,NaN,NaN,NaN
0.029,1.59E+06,0,601.399,NaN,NaN,NaN,NaN,NaN
0.029,1.573E+06,0,588.734,NaN,NaN,NaN,NaN,NaN
0.029,1.556E+06,0,576.081,NaN,NaN,NaN,NaN,NaN
0.028,1.538E+06,0,563.44,NaN,NaN,NaN,NaN,NaN
0.028,1.52E+06,0,550.812,NaN,NaN,NaN,NaN,NaN
0.028,1.502E+06,0,538.197,NaN,NaN,NaN,NaN,NaN
0.027,1.484E+06,0,525.596,NaN,NaN,NaN,NaN,NaN
0.027,1.466E+06,0,513.01,NaN,NaN,NaN,NaN,NaN
0.027,1.447E+06,0,500.439,NaN,NaN,NaN,NaN,NaN
0.026,1.429E+06,0,487.886,NaN,NaN,NaN,NaN,NaN
0.026,1.41E+06,0,475.35,NaN,NaN,NaN,NaN,NaN
0.026,1.391E+06,0,462.832,NaN,NaN,NaN,NaN,NaN
0.025,1.371E+06,0,450.335,NaN,NaN,NaN,NaN,NaN
0.025,1.352E+06,0,437.859,NaN,NaN,NaN,NaN,NaN
0.025,1.332E+06,0,425.405,NaN,NaN,NaN,NaN,NaN
0.024,1.312E+06,0,412.976,NaN,NaN,NaN,NaN,NaN
0.024,1.291E+06,0,400.572,NaN,NaN,NaN,NaN,NaN
0.023,1.27E+06,0,388.196,NaN,NaN,NaN,NaN,NaN
0.023,1.249E+06,0,375.851,NaN,NaN,NaN,NaN,NaN
0.023,1.228E+06,0,363.538,NaN,NaN,NaN,NaN,NaN
0.022,1.207E+06,0,351.26,NaN,NaN,NaN,NaN,NaN
0.022,1.185E+06,0,339.021,NaN,NaN,NaN,NaN,NaN
0.021,1.162E+06,0,326.823,NaN,NaN,NaN,NaN,NaN
0.021,1.14E+06,0,314.672,NaN,NaN,NaN,NaN,NaN
0.021,1.117E+06,0,302.572,NaN,NaN,NaN,NaN,NaN
0.02,1.094E+06,0,290.528,NaN,NaN,NaN,NaN,NaN
0.02,1.07E+06,0,278.547,NaN,NaN,NaN,NaN,NaN
0.019,1.046E+06,0,266.637,NaN,NaN,NaN,NaN,NaN
0.019,1.022E+06,0,254.808,NaN,NaN,NaN,NaN,NaN
0.019,9.97E+05,0,243.07,NaN,NaN,NaN,NaN,NaN
0.018,9.719E+05,0,231.437,NaN,NaN,NaN,NaN,NaN
0.018,9.464E+05,0,219.925,NaN,NaN,NaN,NaN,NaN
0.017,9.207E+05,0,208.557,NaN,NaN,NaN,NaN,NaN
0.017,8.947E+05,0,197.364,NaN,NaN,NaN,NaN,NaN
0.016,8.686E+05,0,186.38,NaN,NaN,NaN,NaN,NaN
0.016,8.426E+05,0,175.66,NaN,NaN,NaN,NaN,NaN
0.015,8.169E+05,0,165.291,NaN,NaN,NaN,NaN,NaN
0.015,7.921E+05,0,155.37,NaN,NaN,NaN,NaN,NaN
0.014,7.693E+05,0,146.095,NaN,NaN,NaN,NaN,NaN
0.014,7.506E+05,0,137.805,NaN,NaN,NaN,NaN,NaN
0.014,7.41E+05,0,131.165,NaN,NaN,NaN,NaN,NaN
0.013,7.472E+05,0,127.838,NaN,NaN,NaN,NaN,NaN
0.014,7.401E+05,0,129.986,NaN,NaN,NaN,NaN,NaN
0.013,7.483E+05,0,127.527,NaN,NaN,NaN,NaN,NaN
0.014,7.391E+05,0,130.343,NaN,NaN,NaN,NaN,NaN
0.013,7.498E+05,0,127.118,NaN,NaN,NaN,NaN,NaN
0.014,7.376E+05,0,130.812,NaN,NaN,NaN,NaN,NaN
0.013,7.516E+05,0,126.584,NaN,NaN,NaN,NaN,NaN
0.014,7.356E+05,0,131.434,NaN,NaN,NaN,NaN,NaN
0.013,7.541E+05,0,125.871,NaN,NaN,NaN,NaN,NaN
0.014,7.33E+05,0,132.247,NaN,NaN,NaN,NaN,NaN
0.013,7.572E+05,0,124.941,NaN,NaN,NaN,NaN,NaN
0.014,7.295E+05,0,133.321,NaN,NaN,NaN,NaN,NaN
0.013,7.614E+05,0,123.714,NaN,NaN,NaN,NaN,NaN
0.014,7.248E+05,0,134.734,NaN,NaN,NaN,NaN,NaN
0.013,7.667E+05,0,122.103,NaN,NaN,NaN,NaN,NaN
0.014,7.231E+05,0,136.595,NaN,NaN,NaN,NaN,NaN
0.013,7.592E+05,0,121.493,NaN,NaN,NaN,NaN,NaN
0.014,7.33E+05,0,133.877,NaN,NaN,NaN,NaN,NaN
0.013,7.581E+05,0,124.81,NaN,NaN,NaN,NaN,NaN
0.014,7.293E+05,0,133.478,NaN,NaN,NaN,NaN,NaN
0.013,7.624E+05,0,123.529,NaN,NaN,NaN,NaN,NaN
0.014,7.244E+05,0,134.96,NaN,NaN,NaN,NaN,NaN
0.013,7.68E+05,0,121.835,NaN,NaN,NaN,NaN,NaN
0.014,7.244E+05,0,136.923,NaN,NaN,NaN,NaN,NaN
0.013,7.575E+05,0,121.788,NaN,NaN,NaN,NaN,NaN
0.014,7.341E+05,0,133.167,NaN,NaN,NaN,NaN,NaN
0.013,7.577E+05,0,125.055,NaN,NaN,NaN,NaN,NaN
0.014,7.306E+05,0,133.205,NaN,NaN,NaN,NaN,NaN
0.013,7.618E+05,0,123.833,NaN,NaN,NaN,NaN,NaN
0.014,7.259E+05,0,134.618,NaN,NaN,NaN,NaN,NaN
0.013,7.672E+05,0,122.217,NaN,NaN,NaN,NaN,NaN
0.014,7.235E+05,0,136.491,NaN,NaN,NaN,NaN,NaN
0.013,7.608E+05,0,121.351,NaN,NaN,NaN,NaN,NaN
0.014,7.337E+05,0,134.169,NaN,NaN,NaN,NaN,NaN
0.013,7.591E+05,0,124.775,NaN,NaN,NaN,NaN,NaN
0.014,7.299E+05,0,133.538,NaN,NaN,NaN,NaN,NaN
0.013,7.635E+05,0,123.445,NaN,NaN,NaN,NaN,NaN
0.014,7.247E+05,0,135.08,NaN,NaN,NaN,NaN,NaN
0.013,7.682E+05,0,121.687,NaN,NaN,NaN,NaN,NaN
0.014,7.267E+05,0,136.699,NaN,NaN,NaN,NaN,NaN
0.013,7.584E+05,0,122.295,NaN,NaN,NaN,NaN,NaN
0.014,7.331E+05,0,133.174,NaN,NaN,NaN,NaN,NaN
0.013,7.605E+05,0,124.453,NaN,NaN,NaN,NaN,NaN
0.014,7.289E+05,0,133.919,NaN,NaN,NaN,NaN,NaN
0.013,7.654E+05,0,123.007,NaN,NaN,NaN,NaN,NaN
0.014,7.233E+05,0,135.599,NaN,NaN,NaN,NaN,NaN
0.013,7.672E+05,0,121.077,NaN,NaN,NaN,NaN,NaN
0.014,7.313E+05,0,136.206,NaN,NaN,NaN,NaN,NaN
0.013,7.577E+05,0,123.723,NaN,NaN,NaN,NaN,NaN
0.014,7.33E+05,0,132.806,NaN,NaN,NaN,NaN,NaN
0.013,7.616E+05,0,124.275,NaN,NaN,NaN,NaN,NaN
0.014,7.286E+05,0,134.135,NaN,NaN,NaN,NaN,NaN
0.013,7.667E+05,0,122.747,NaN,NaN,NaN,NaN,NaN
0.014,7.229E+05,0,135.922,NaN,NaN,NaN,NaN,NaN
0.013,7.659E+05,0,120.819,NaN,NaN,NaN,NaN,NaN
0.014,7.339E+05,0,135.607,NaN,NaN,NaN,NaN,NaN
0.013,7.58E+05,0,124.467,NaN,NaN,NaN,NaN,NaN
0.014,7.334E+05,0,132.775,NaN,NaN,NaN,NaN,NaN
0.013,7.619E+05,0,124.306,NaN,NaN,NaN,NaN,NaN
0.014,7.29E+05,0,134.117,NaN,NaN,NaN,NaN,NaN
0.013,7.671E+05,0,122.761,NaN,NaN,NaN,NaN,NaN
0.014,7.23E+05,0,135.911,NaN,NaN,NaN,NaN,NaN
0.013,7.668E+05,0,120.71,NaN,NaN,NaN,NaN,NaN
0.014,7.343E+05,0,135.775,NaN,NaN,NaN,NaN,NaN
0.013,7.581E+05,0,124.501,NaN,NaN,NaN,NaN,NaN
0.014,7.341E+05,0,132.684,NaN,NaN,NaN,NaN,NaN
