Mach number (​),Reynolds number (​),Thrust (N),Fd,Cd,Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​)
0.5,2.745E+07,1110.313,141.583,0.624,0.624,0.315,0.157,0.152
0.509,2.792E+07,1095.845,146.913,0.626,0.626,0.314,0.158,0.154
0.518,2.838E+07,1080.935,152.23,0.627,0.627,0.314,0.158,0.155
0.526,2.883E+07,1063.62,157.503,0.628,0.628,0.314,0.159,0.156
0.535,2.927E+07,1045.945,162.723,0.63,0.63,0.313,0.159,0.157
0.543,2.969E+07,1031.151,167.909,0.631,0.631,0.313,0.16,0.158
0.551,3.01E+07,1018.969,173.075,0.632,0.632,0.313,0.16,0.159
0.559,3.05E+07,1008.566,178.222,0.634,0.634,0.313,0.161,0.161
0.566,3.09E+07,1007.837,183.417,0.635,0.635,0.312,0.161,0.162
0.574,3.13E+07,1008.519,188.675,0.637,0.637,0.312,0.162,0.163
0.581,3.165E+07,932.096,193.381,0.638,0.638,0.312,0.162,0.164
0.586,3.19E+07,785.781,196.942,0.639,0.639,0.311,0.163,0.165
0.59,3.206E+07,627.726,199.219,0.639,0.639,0.311,0.163,0.165
0.591,3.209E+07,405.835,199.67,0.639,0.639,0.311,0.163,0.165
0.589,3.197E+07,174.398,198.227,0.639,0.639,0.311,0.163,0.165
0.586,3.178E+07,50.853,195.8,0.639,0.639,0.312,0.162,0.165
0.583,3.157E+07,25.105,193.203,0.638,0.638,0.312,0.162,0.164
,,,,,,,,
,,,,,,,,
0.581,3.147E+07,6.115,191.913,0.638,0.638,0.312,0.162,0.164
0.579,3.131E+07,0,189.963,0.637,0.637,0.312,0.162,0.164
0.575,3.11E+07,0,187.27,0.637,0.637,0.312,0.162,0.163
0.572,3.088E+07,0,184.622,0.636,0.636,0.312,0.162,0.162
0.568,3.067E+07,0,182.018,0.635,0.635,0.312,0.161,0.162
0.565,3.046E+07,0,179.459,0.635,0.635,0.312,0.161,0.161
0.561,3.025E+07,0,176.945,0.634,0.634,0.312,0.161,0.161
0.558,3.004E+07,0,174.473,0.634,0.634,0.313,0.161,0.16
0.555,2.984E+07,0,172.042,0.633,0.633,0.313,0.16,0.16
0.551,2.963E+07,0,169.65,0.633,0.633,0.313,0.16,0.16
0.548,2.943E+07,0,167.3,0.632,0.632,0.313,0.16,0.159
0.545,2.923E+07,0,164.988,0.631,0.631,0.313,0.16,0.159
